"Summary by Level","#","","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"MED HIST","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Junior","","25","3.680","68.0","20.0",".","4.0","8.0","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","71","3.883","80.3","9.9","7.0",".",".","",".","",".",".","",".",".","",".","",".","2.8",".",".","."
"Undergraduates","","97","3.819","76.3","12.4","6.2","1.0","2.1","",".","",".",".","",".",".","",".","",".","2.1",".",".","."
"Special","","3","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","","10","3.962","80.0","10.0",".",".",".","",".","",".","10.0","",".",".","",".","",".",".",".",".","."
"Prof Yr 3","","2","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 4","","44","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"Professionals","","46","4.000","4.3",".",".",".",".","",".","",".","95.7","",".",".","",".","",".",".",".",".","."
