"GEOLOGICAL ENGINEERING","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"418
G L E","","","","","","","","","","","","","","","","","","","","",""
"Prob Solv Using Cmptr Tools","291","001","","6","3.083",".","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Soil Mechanics","330","001","","7","3.214",".","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Principles of Mineralogy","360","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Geological Engr","401","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sedimentary & Stratigraphy Lab","431","001","","11","3.727","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Geological Engr Design","479","001","","8","2.938","12.5","12.5","62.5",".",".","12.5",".",".",".",".",".",".",".",".",".","."
"Honors in Research","489","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Seepage and Slopes","530","001","","6","2.917","16.7","16.7","50.0",".",".","16.7",".",".",".",".",".",".",".",".",".","."
"Intro to Applied Geophysics","594","001","","16","3.406","50.0","18.8","12.5",".","18.8",".",".",".",".",".",".",".",".",".",".","."
"Fld Meth-Appl&Engr Geophysics","595","001","","11","3.591","45.5","27.3","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hydrogeology","627","001","","12","3.273","25.0","25.0","16.7","25.0",".",".",".","8.3",".",".",".",".",".",".",".","."
"Independent Study","699","032","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Rock Mechanics","757","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","068","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","069","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research or Thesis","","Course Total","","7","",".",".",".",".",".",".",".","42.9",".",".",".","42.9","14.3",".",".","."
"","890","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","890","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator's Research","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Research and Thesis","990","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
