"Contemporary Topics","Course Total","106","3.984","98.1","1.9",".",".",".",".",".",".","",".",".",".","",".",".",".",".","."
"","799
001","1","***","","","","","","","","","","",".",".",".","",".",".",".","."
"","799
002","3","***","","","","","","","","","","",".",".",".","",".",".",".","."
"Rdg & Rsch-Business Rsch","Course Total","4","***","","","","","","","","","","","","","","","","","",""
"Beginning a Research Career","933
001","13","",".",".",".",".",".",".",".","100.0",".","",".",".",".","",".",".",".","."
"GEN BUS
231","Dept. Total","4811","3.399","43.0","17.4","15.2","5.9","2.8","0.5","0.4","0.3","",".","14.2","0.2","",".","0.1","0.0","0.0","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","695","3.804","58.4","3.5","4.2","1.0","1.0","0.4","0.7",".","",".","29.6","0.7","",".",".",".",".","."
"Sophomore","","1086","3.320","44.4","7.2","15.2","4.3","4.3","0.1","0.2",".","",".","23.9","0.1","",".","0.2",".",".","."
"Junior","","1232","3.256","32.1","21.0","19.2","9.1","4.3","1.0","0.6","0.1","",".","12.3","0.2","",".","0.1",".",".","."
"Senior","","1045","3.331","28.2","28.6","23.7","10.5","2.4","0.7","0.3",".","",".","5.4",".","",".","0.1","0.1",".","."
"Undergraduates","","4058","3.331","38.9","16.3","16.7","6.8","3.3","0.6","0.4","0.0","",".","16.6","0.2","",".","0.1","0.0",".","."
"Special","","19","2.953","21.1","15.8","10.5","26.3",".",".","5.3",".","",".","15.8",".","",".",".",".","5.3","."
"Graduate","","729","3.788","66.4","23.5","6.7","0.1","0.3",".",".","1.9","",".","1.0",".","",".",".",".",".","0.1"
"Prof Yr 2","","2","***","","","","","","","","","","",".",".","",".",".",".",".","."
"Prof Yr 3","","2","***","","","","","","","","","","",".",".","",".",".",".",".","."
"Prof Yr 4","","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"Professionals","","5","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","Dept. Total","4811","3.399","43.0","17.4","15.2","5.9","2.8","0.5","0.4","0.3","",".","14.2","0.2","",".","0.1","0.0","0.0","0.0"
