"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"PATH-BIO","","","","","","","","","","","","","","","","","","","",""
"Freshmen","4","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","14","3.481","57.1","7.1","21.4",".",".",".","7.1",".","",".",".","",".",".",".",".","7.1","."
"Junior","27","3.445","59.3","11.1","18.5",".","7.4","3.7",".",".","",".",".","",".",".",".",".",".","."
"Senior","50","3.393","56.0","4.0","18.0","2.0","6.0","6.0",".",".","",".",".","",".",".","2.0",".","6.0","."
"Undergraduates","95","3.412","57.9","6.3","17.9","1.1","5.3","4.2","2.1",".","",".",".","",".",".","1.1",".","4.2","."
"Special","5","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Graduate","55","4.000","34.5",".",".",".",".",".",".","36.4","",".",".","",".","29.1",".",".",".","."
"Prof Yr 2","743","3.670","55.0","14.0","13.3","3.0","0.7",".",".","13.9","",".",".","",".","0.1",".",".",".","."
"Prof Yr 3","100","4.000","2.0",".",".",".",".",".",".","98.0","",".",".","",".",".",".",".",".","."
"Prof Yr 4","121","4.000","31.4",".",".",".",".",".",".","63.6","",".",".","",".",".",".",".","5.0","."
"Professionals","964","3.680","46.6","10.8","10.3","2.3","0.5",".",".","28.8","",".",".","",".","0.1",".",".","0.6","."
