"BIOLOGY CORE CURRICULUM","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"206
BIOCORE","","","","","","","","","","","","","","","","","","","",""
"Becoming a Scientist","181
001","","18","3.941","88.9",".","5.6",".",".",".",".",".",".",".",".",".",".","5.6",".","."
"Evolution,Ecology,&Genetics","381
001","","91","3.644","59.3","15.4","22.0",".","1.1","1.1",".",".",".",".",".",".","1.1",".",".","."
"","382
001","","17","3.500","41.2","17.6","41.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","382
002","","20","3.600","55.0","10.0","35.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
382","","18","3.667","55.6","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
382","","15","3.533","40.0","26.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","382
005","","16","3.719","68.8","6.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Evol,Ecol,&Genetics Lab","Course Total","","86","3.605","52.3","16.3","31.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Peer Mentoring","401
001","","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Principles of Physiology","485
001","","72","3.597","56.9","6.9","34.7","1.4",".",".",".",".",".",".",".",".",".",".",".","."
"","486
001","","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","486
002","","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","486
003","","12","3.818","75.0",".","16.7",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Principles of Physiology Lab","Course Total","","41","3.913","87.8","2.4","7.3",".",".",".",".",".",".",".",".",".","2.4",".",".","."
"Directed Study","699
001","","6","4.000","50.0",".",".",".",".",".",".",".",".",".",".",".","50.0",".",".","."
"BIOCORE
206","Dept. Total","","330","3.665","59.1","10.3","23.0","0.3","0.3","0.3",".",".",".","4.8",".",".","1.5","0.3",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"206
BIOCORE","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".",".","12.5",".","."
"Sophomore","","","92","3.620","55.4","16.3","25.0",".",".","1.1",".",".",".",".",".",".","2.2",".",".","."
"Junior","","","133","3.622","55.6","9.8","29.3",".","0.8",".",".",".",".","3.0",".",".","1.5",".",".","."
"Senior","","","97","3.753","64.9","6.2","14.4","1.0",".",".",".",".",".","12.4",".",".","1.0",".",".","."
"Undergraduates","","","330","3.665","59.1","10.3","23.0","0.3","0.3","0.3",".",".",".","4.8",".",".","1.5","0.3",".","."
"","Dept. Total","","330","3.665","59.1","10.3","23.0","0.3","0.3","0.3",".",".",".","4.8",".",".","1.5","0.3",".","."
