"L&S","","","","","","","","","","","","","","","","","","","","",""
"","GERMAN, NORDIC, AND SLAVIC Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"425
GNS","","","","","","","","","","","","","","","","","","","","",""
"Topics in GNS","270","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Kazakh","331","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Turkish","339","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Kazakh","431","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Turkish","439","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Tpcs in E Eu & Cen As L&C","471","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fifth Semester Turkish & Azeri","539","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"GNS
425","","Dept. Total","","21","3.875","76.2","23.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
