"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","",""
"LITERATURE IN TRANSLATION","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"551
LITTRANS","","","","","","","","","","","","","","","","","","","",""
"19&20th C Russn Lit Tran I","201","001","28","3.286","42.9","25.0","17.9","3.6","3.6",".","7.1",".",".",".",".",".",".",".",".","."
"19&20 C Russian Lit Tran I","203","001","49","3.806","79.6","12.2","4.1","2.0",".","2.0",".",".",".",".",".",".",".",".",".","."
"Women in Russn Lit in Trans","205","001","13","3.808","84.6","7.7",".",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Polish Lit Tran:14-Mid 19 C","215","001","10","3.625","50.0","10.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","20.0","."
"Chekhov in Translation","220","001","27","3.458","48.1","18.5","11.1","3.7","3.7",".","3.7","11.1",".",".",".",".",".",".",".","."
"Dostoevsky in Translation","222","001","38","3.824","63.2","21.1","5.3",".",".",".",".",".",".",".",".",".","10.5",".",".","."
"V Nabokov: Russ&Amer Writng","223","001","27","3.778","63.0","33.3",".","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"Anime","232","001","70","3.336","20.0","45.7","25.7","1.4","5.7","1.4",".",".",".",".",".",".",".",".",".","."
"","233","001","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","233","002","15","3.633","46.7","40.0","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Russian Life&Cult (to 1917)","","Course Total","25","3.759","60.0","32.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"The World of Sagas","235","001","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","247","001","71","3.028","19.7","21.1","39.4","9.9","2.8","1.4","5.6",".",".",".",".",".",".",".",".","."
"","247","002","37","3.903","83.8","8.1","5.4",".",".",".",".",".",".",".",".",".",".","2.7",".","."
"Topics-Slavic Lit in Translatn","","Course Total","108","3.322","41.7","16.7","27.8","6.5","1.9","0.9","3.7",".",".",".",".",".",".","0.9",".","."
"Lit Tran:19c Fr Mastrpieces","249","001","28","3.457","39.3","25.0","10.7",".","3.6",".","3.6","17.9",".",".",".",".",".",".",".","."
"Lit Tran: Modern Italy","254","002","19","3.816","63.2","36.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lt Trn:Boccaccios Decameron","255","001","15","3.367","66.7","6.7","13.3",".",".","6.7","6.7",".",".",".",".",".",".",".",".","."
"Italy & Invention of America","260","001","25","3.940","88.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chinese Lit in Translation","261","001","67","3.918","89.6","6.0","3.0","1.5",".",".",".",".",".",".",".",".",".",".",".","."
"Japanese Lit in Translation","263","001","36","3.764","69.4","25.0","2.8",".",".","2.8",".",".",".",".",".",".",".",".",".","."
"German Women Writers-Tran","270","001","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Tops in Ger & World Lit/s","276","001","48","3.969","95.8","2.1","2.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Scandinavian Literature","324","001","55","3.682","60.0","29.1","7.3","1.8",".",".","1.8",".",".",".",".",".",".",".",".","."
"Topics in Dutch Lit in Tran","326","001","117","3.905","82.9","6.8","2.6","0.9","0.9",".",".","4.3",".",".",".",".","1.7",".",".","."
"In Transl:19C Scand Fiction","337","001","49","3.207","16.3","20.4","16.3","2.0","8.2","2.0",".","22.4",".",".",".",".","10.2","2.0",".","."
"Machiavelli and His World","365","002","13","3.778","38.5","30.8",".",".",".",".",".",".",".",".",".",".",".","30.8",".","."
"Topics in Japanese Lit","373","001","8","4.000","87.5",".",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"","410","001","17","3.471","52.9","29.4","5.9","5.9",".",".","5.9",".",".",".",".",".",".",".",".","."
"","410","002","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"In Trans:Topics-Italian Lit","","Course Total","29","3.638","62.1","27.6","3.4","3.4",".",".","3.4",".",".",".",".",".",".",".",".","."
"Sexual Politics in Scandinavia","438","001","7","3.571","57.1","28.6",".",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Polish Lit Mid Ages-1863","471","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
