"ASIAN LANG & CULTURE: LANG Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"186
ASIALANG","","","","","","","","","","","","","","","","","","",""
"","101
001","20","3.775","70.0","15.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
002","18","3.618","72.2","5.6","11.1",".",".",".","5.6","5.6",".",".",".",".",".",".",".","."
"","003
101","19","3.684","78.9","5.3","5.3","5.3",".","5.3",".",".",".",".",".",".",".",".",".","."
"First Semester Chinese","Course Total","57","3.696","73.7","8.8","10.5","1.8",".","1.8","1.8","1.8",".",".",".",".",".",".",".","."
"","103
001","19","3.500","57.9","10.5","21.1",".",".",".","5.3",".",".",".",".",".","5.3",".",".","."
"","103
002","19","3.711","68.4","15.8","10.5",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","103
003","17","3.618","64.7","11.8","5.9","17.6",".",".",".",".",".",".",".",".",".",".",".","."
"","103
004","18","3.583","50.0","27.8","16.7",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","103
005","19","3.688","57.9","15.8",".","5.3","5.3",".",".","5.3",".",".",".",".","10.5",".",".","."
"","006
103","19","3.763","78.9","5.3","5.3","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"","103
007","17","3.853","76.5","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","103
008","19","3.421","52.6","10.5","21.1","10.5",".","5.3",".",".",".",".",".",".",".",".",".","."
"First Semester Japanese","Course Total","147","3.640","63.3","14.3","10.9","5.4","2.0","0.7","0.7","0.7",".",".",".",".","2.0",".",".","."
"First Semester Korean","105
001","89","3.693","67.4","19.1","3.4","3.4","4.5","1.1",".","1.1",".",".",".",".",".",".",".","."
"Elementary Chinese II","111
001","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","114
001","13","3.308","38.5","23.1","23.1","7.7",".","7.7",".",".",".",".",".",".",".",".",".","."
"","114
002","13","3.667","38.5","46.2","7.7",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"2nd Sem Elementary Japanese","Course Total","26","3.480","38.5","34.6","15.4","3.8",".","3.8",".","3.8",".",".",".",".",".",".",".","."
"First Semester Asian Language","121
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Filipino","123
001","14","3.536","71.4","14.3",".","7.1",".",".","7.1",".",".",".",".",".",".",".",".","."
"First Semester Hmong","125
001","20","3.525","65.0","5.0","25.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"First Semester Indonesian","001
127","7","3.214","28.6","28.6","14.3","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"First Semester Thai","129
001","6","3.500","33.3","50.0",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Vietnamese","131
001","14","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Hindi","001
133","12","3.667","58.3","25.0","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Modern Tibetan","135
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Persian","137
001","8","3.333","62.5",".",".",".",".",".","12.5","12.5",".",".",".",".",".",".","12.5","."
"First Semester Urdu","139
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
001","17","3.912","88.2","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
002","13","3.077","30.8","23.1","15.4","7.7","15.4","7.7",".",".",".",".",".",".",".",".",".","."
"","201
003","17","3.794","70.6","17.6","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Chinese","Course Total","47","3.638","66.0","14.9","10.6","2.1","4.3","2.1",".",".",".",".",".",".",".",".",".","."
"","203
001","16","3.467","56.3","18.8","6.3","6.3",".",".","6.3",".",".",".",".",".","6.3",".",".","."
"","203
002","16","3.250","43.8","18.8","12.5","6.3","12.5","6.3",".",".",".",".",".",".",".",".",".","."
"","203
003","18","3.000","33.3","11.1","16.7","22.2","11.1",".","5.6",".",".",".",".",".",".",".",".","."
"","203
004","16","3.125","25.0","43.8","12.5","6.3",".","6.3","6.3",".",".",".",".",".",".",".",".","."
"Third Semester Japanese","Course Total","66","3.200","39.4","22.7","12.1","10.6","6.1","3.0","4.5",".",".",".",".",".","1.5",".",".","."
"Third Semester Korean","205
001","36","3.778","66.7","27.8",".","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Filipino","223
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Hmong","225
001","12","3.375","66.7",".","16.7","8.3",".",".","8.3",".",".",".",".",".",".",".",".","."
