"ED LEADERSHP & POLICY ANAL Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","",""
"Internship in Ed Admin","Course Total","","29","4.000","89.7",".",".",".",".",".",".",".",".",".",".",".","10.3",".",".","."
"940","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"940","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics Seminar-Educ Leadership","Course Total","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"961
Critical Issues in Ed Policy","001","","11","3.727","63.6","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","6","",".",".",".",".",".",".",".","83.3","16.7",".",".",".",".",".",".","."
"990","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","9","",".",".",".",".",".",".",".","66.7",".",".",".",".",".","33.3",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","014","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","019","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","81","",".",".",".",".",".",".",".","82.7","1.2",".",".","12.3",".","3.7",".","."
"999","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","003","","10","4.000","50.0",".",".",".",".",".",".",".",".",".",".",".","50.0",".",".","."
"999","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"999","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","30","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
