"PHYSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","",""
"","103
001","286","3.202","23.8","22.0","21.3","15.7","6.3","0.7","0.3",".",".",".",".",".","9.8",".",".","."
"","002
103","284","3.112","20.1","21.5","23.2","16.2","11.3",".","0.4",".",".",".",".",".","7.4",".",".","."
"","003
103","101","3.011","11.9","21.8","23.8","17.8","12.9",".",".","1.0",".",".",".",".","10.9",".",".","."
"General Physics","Course Total","671","3.135","20.4","21.8","22.5","16.2","9.4","0.3","0.3","0.1",".",".",".",".","8.9",".",".","."
"","104
001","225","3.101","20.9","20.4","20.0","18.2","8.0","1.8","0.4",".",".",".",".",".","10.2",".",".","."
"","104
002","97","2.988","18.6","18.6","12.4","18.6","11.3","4.1",".",".",".",".",".",".","16.5",".",".","."
"General Physics","Course Total","322","3.069","20.2","19.9","17.7","18.3","9.0","2.5","0.3",".",".",".",".",".","12.1",".",".","."
"Ideas of Modern Physics","107
001","23","3.725","43.5","39.1","4.3",".",".",".",".","8.7",".",".",".",".","4.3",".",".","."
"","109
001","119","3.777","71.4","16.0","10.1","1.7","0.8",".",".",".",".",".",".",".",".",".",".","."
"","109
002","87","3.632","66.7","17.2","8.0","1.1","4.6",".","2.3",".",".",".",".",".",".",".",".","."
"Physics in the Arts","Course Total","206","3.716","69.4","16.5","9.2","1.5","2.4",".","1.0",".",".",".",".",".",".",".",".","."
"Energy","001
115","21","3.071","28.6","19.0","33.3","4.8","4.8","4.8","4.8",".",".",".",".",".",".",".",".","."
"Directed Study","199
033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"General Physics","201
002","136","2.874","21.3","21.3","11.0","19.9","17.6","7.4","0.7",".",".",".",".",".","0.7",".",".","."
"","202
001","285","2.944","19.3","18.9","19.6","17.9","19.6","1.8","0.7",".",".",".",".",".","2.1",".",".","."
"","202
002","203","3.045","21.2","20.7","19.7","20.7","14.3","0.5","0.5",".",".",".",".",".","2.5",".",".","."
"General Physics","Course Total","488","2.986","20.1","19.7","19.7","19.1","17.4","1.2","0.6",".",".",".",".",".","2.3",".",".","."
"General Physics","207
001","251","2.994","18.3","21.1","27.1","17.5","9.6","3.2","1.6",".",".",".",".",".",".",".",".","1.6"
"General Physics","208
002","132","3.131","22.0","25.8","25.8","13.6","8.3","2.3","0.8",".",".",".",".",".","0.8",".",".","0.8"
"Intro-Solid State Electronics","235
001","7","3.500","42.9","14.3","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Modern Physics","241
001","35","3.250","31.4","22.9","25.7","8.6","5.7",".","2.9","2.9",".",".",".",".",".",".",".","."
"A Modern Intro to Physics","001
247","72","3.715","69.4","18.1","8.3",".","2.8",".","1.4",".",".",".",".",".",".",".",".","."
"A Modern Intro to Physics","249
001","38","3.329","28.9","28.9","23.7","15.8","2.6",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","298
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","4","***","","","","","","","","","","","","","","","",""
"","307
001","13","2.885","30.8","7.7","30.8","15.4",".","7.7","7.7",".",".",".",".",".",".",".",".","."
"","307
002","22","3.238","18.2","31.8","22.7","22.7",".",".",".",".",".",".",".",".","4.5",".",".","."
"Intmed Lab-Mech&Mod Physics","Course Total","35","3.103","22.9","22.9","25.7","20.0",".","2.9","2.9",".",".",".",".",".","2.9",".",".","."
"Mechanics","311
001","51","3.010","23.5","27.5","23.5","13.7","2.0","2.0","7.8",".",".",".",".",".",".",".",".","."
"Elect Circuits & Electronic","321
001","50","3.320","42.0","16.0","22.0","8.0","10.0","2.0",".",".",".",".",".",".",".",".",".","."
"Electromagnetic Fields","001
322","41","3.075","12.2","19.5","43.9","14.6","7.3",".",".",".",".",".",".",".","2.4",".",".","."
"Acoustics for Musicians","371
001","9","3.444","55.6","22.2","11.1",".",".","11.1",".",".",".",".",".",".",".",".",".","."
"Thermal Physics","415
001","26","2.846","23.1","15.4","23.1","23.1",".","11.5","3.8",".",".",".",".",".",".",".",".","."
"Atomic and Quantum Physics","448
001","52","3.500","51.9","17.3","17.3","1.9","5.8",".","1.9",".",".",".",".",".",".",".","3.8","."
"","499
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499
028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499
048","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 05, 2022","","","","","","","","","","","","","","","","","","Page 318 of 464",""
