"PEDIATRICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"708
PEDIAT","","","","","","","","","","","","","","","","","","","",""
"975","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"975","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"975","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"975","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"975","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"975","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Developmental Pediatrics","Course Total","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","203","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","214","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","12","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
