"FINANCE, INVESTMENT & BANKI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","",""
"Intro to Appl Security Analyss","645
001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
020","46","3.644","43.5","39.1","15.2",".",".",".",".",".",".",".",".",".","2.2",".",".","."
"","021
700","36","3.639","50.0","27.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","700
030","30","3.583","46.7","23.3","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
050","57","3.632","43.9","38.6","17.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Financial Mgmnt","Course Total","170","3.624","45.3","34.1","20.0",".",".",".",".",".",".",".",".",".","0.6",".",".","."
"","720
001","15","3.700","53.3","33.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","720
022","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Investment Theory&Practice","Course Total","18","3.583","44.4","33.3","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","730
001","15","",".",".",".",".",".",".",".",".",".",".",".",".",".",".","100.0","."
"","730
022","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Derivative Securities","Course Total","18","",".",".",".",".",".",".",".",".",".",".",".",".",".",".","100.0","."
"","765
001","34","3.632","29.4","67.6","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
040","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","57","3.700","57.9","40.4","1.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"SecurityAnalysis&Invstmt Mgt I","835
001","19","3.895","84.2","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Corporate Finance I","850
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory of Finance","920
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Corporate Finance (Ph.D.)","971
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Workshop in Finance","973
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"PhD Thesis-Finance","990
016","1","***","","","","","","","","","",".",".",".",".",".",".","."
