"Summary by Level","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"MED PHYS","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Junior","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior","","20","3.798","70.0","20.0",".","5.0",".",".",".",".",".",".",".",".","5.0",".",".","."
"Undergraduates","","23","3.822","73.9","17.4",".","4.3",".",".",".",".",".",".",".",".","4.3",".",".","."
"Special","","4","***","","","","","","","","","",".",".",".",".",".","25.0","."
"Graduate","","278","3.760","58.3","12.9","5.8","0.7","0.4",".",".","10.4",".",".",".","11.5",".",".",".","."
"Prof Yr 2","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Professionals","","2","***","","","","","","","","","",".",".",".",".",".",".","."
