"POLITICAL SCIENCE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"Intro-Amer Politcs&Governmt","104","001","327","2.786","15.9","13.1","24.2","17.7","17.7","6.4","1.2","1.2",".",".",".",".","1.5","0.6",".","0.3"
"Intro to Comparative Politics","120","001","143","3.074","21.0","23.8","24.5","17.5","9.8","1.4","1.4",".",".",".",".",".","0.7",".",".","."
"Intro-Internatl Relations","140","001","288","3.021","12.5","31.3","32.3","11.1","6.6","1.7","3.5",".",".",".",".",".","1.0",".",".","."
"Intro to Political Theory","160","001","194","3.495","41.8","33.5","12.4","4.6","2.1","1.5","1.0","0.5",".",".",".",".","2.1","0.5",".","."
"Research Methods in Poli Sci","170","001","98","3.442","36.7","39.8","8.2","7.1","2.0","1.0","2.0",".",".",".",".",".","3.1",".",".","."
"","201","001","18","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201","002","15","3.192","33.3","33.3","6.7",".",".","6.7","6.7","6.7",".",".",".",".",".","6.7",".","."
"Spec Topics in Poli Sci","","Course Total","33","3.532","45.5","39.4","3.0",".",".","3.0","3.0","3.0",".",".",".",".",".","3.0",".","."
"Law, Politics and Society","217","001","26","3.096","30.8","15.4","30.8","11.5","3.8","3.8","3.8",".",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","8","3.688","75.0",".","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Intro East Asian Civilizations","255","001","12","3.750","58.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Understndng Politcl Numbers","270","001","41","3.592","58.5","14.6","9.8","2.4","4.9","2.4",".",".",".",".",".",".","4.9","2.4",".","."
"Intro to Public Policy","272","001","44","3.761","72.7","15.9","4.5","4.5","2.3",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","30","3.621","56.7","26.7","10.0",".",".",".","3.3",".",".",".",".",".","3.3",".",".","."
"United States Congress","311","001","100","3.668","49.0","39.0","6.0","2.0","2.0",".",".","1.0",".",".",".",".","1.0",".",".","."
"Legislative Internship","315","002","60","3.925","93.3","1.7","3.3",".","1.7",".",".",".",".",".",".",".",".",".",".","."
"Middle East Politics","320","001","47","3.727","55.3","31.9","2.1","2.1","2.1",".",".","4.3",".",".",".",".","2.1",".",".","."
"Politcl Power-Contemp China","324","001","29","3.685","65.5","17.2","6.9",".",".",".","3.4","6.9",".",".",".",".",".",".",".","."
"German Politics","332","001","22","3.364","18.2","45.5","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Civil Military Paradox in US","338","001","25","3.917","80.0","16.0",".",".",".",".",".","4.0",".",".",".",".",".",".",".","."
"Analysis of Intl Relations","348","001","86","2.855","17.4","22.1","18.6","16.3","18.6","4.7","2.3",".",".",".",".",".",".",".",".","."
"Prin-International Law","356","001","49","3.306","28.6","32.7","16.3","16.3","6.1",".",".",".",".",".",".",".",".",".",".","."
"American Foreign Policy","359","001","212","3.700","67.0","19.3","3.8","2.4","0.5","0.5","2.4","0.9",".",".",".",".","0.5",".",".","2.8"
"Hist-Amer Political Thought","360","001","28","3.038","21.4","21.4","17.9","21.4","7.1",".","3.6","7.1",".",".",".",".",".",".",".","."
"Literature and Politics","363","001","44","3.907","84.1","11.4",".","2.3",".",".",".",".",".",".",".",".",".",".","2.3","."
"Machiavelli and His World","365","002","63","3.754","77.8","11.1","7.9",".",".","1.6","1.6",".",".",".",".",".",".",".",".","."
"Islam and Politics","370","001","27","3.058","11.1","25.9","44.4","7.4","3.7",".","3.7","3.7",".",".",".",".",".",".",".","."
"","400","002","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400","003","35","3.985","94.3","2.9",".",".",".",".",".",".",".",".",".",".",".","2.9",".","."
"","400","004","25","3.813","60.0","36.0",".",".",".",".",".",".",".",".",".",".","4.0",".",".","."
"","400","006","28","3.429","42.9","35.7","7.1","7.1","3.6",".","3.6",".",".",".",".",".",".",".",".","."
"","400","007","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Political Science","","Course Total","105","3.723","73.3","19.0","1.9","1.9","1.0",".","1.0",".",".",".",".",".","1.0","1.0",".","."
"","401","001","14","3.577","35.7","42.9","7.1","7.1",".",".",".",".",".",".",".",".","7.1",".",".","."
"","401","002","21","3.952","90.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Selected Topics-Poli Sci","","Course Total","35","3.809","68.6","22.9","2.9","2.9",".",".",".",".",".",".",".",".","2.9",".",".","."
"The American Presidency","408","001","50","3.250","28.0","36.0","20.0","10.0",".","2.0","4.0",".",".",".",".",".",".",".",".","."
"The American Constitution I","411","001","51","3.582","62.7","21.6","5.9",".",".",".","5.9","3.9",".",".",".",".",".",".",".","."
"Supreme Ct as Pol Instit","414","001","51","3.657","58.8","25.5","9.8",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"January 05, 2022","","","","","","","","","","","","","","","","","","","Page 322 of 464",""
