"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"PUBLHLTH","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","2","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Undergraduates","2","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Special","9","3.875","66.7","22.2",".",".",".","",".","",".","11.1","",".",".","",".","",".",".",".",".","."
"Graduate","14","3.900","42.9","7.1",".",".",".","",".","",".","50.0","",".",".","",".","",".",".",".",".","."
"Prof Yr 1","8","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 2","15","4.000","86.7",".",".",".",".","",".","",".","6.7","",".",".","",".","",".","6.7",".",".","."
"Prof Yr 3","13","3.932","53.8","7.7",".",".",".","",".","",".","38.5","",".",".","",".","",".",".",".",".","."
"Prof Yr 4","311","3.846","62.1","11.3","1.9","0.3","1.0","",".","",".","22.2","",".",".","",".","",".","1.3",".",".","."
"Professionals","347","3.856","63.7","10.4","1.7","0.3","0.9","",".","",".","21.6","",".",".","",".","",".","1.4",".",".","."
