"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"700
ONCOLOGY","","","","","","","","","","","","","","","","","","","","","","","",""
"","990
118","1","***","","","","","","","","","","","","","",".",".","",".",".",".",".","."
"Research","Course Total","50","",".",".",".",".","",".","",".","",".","76.0","",".",".","",".","12.0",".",".","12.0","."
"ONCOLOGY
700","Dept. Total","183","3.771","49.2","14.8","8.2",".","",".","",".","",".","20.8","",".",".","",".","3.3","0.5",".","3.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"700
ONCOLOGY","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","***","","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","","1","***","","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Junior","","14","3.733","57.1","28.6","14.3",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Senior","","44","3.745","61.4","25.0","13.6",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","","60","3.752","61.7","25.0","13.3",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Special","","5","***","","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Graduate","","117","3.790","41.9","9.4","5.1",".","",".","",".","",".","32.5","",".",".","",".","5.1","0.9",".","5.1","."
"Prof Yr 2","","1","***","","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","1","***","","","","","","","","","","","","","",".","",".",".",".",".",".","."
"","Dept. Total","183","3.771","49.2","14.8","8.2",".","",".","",".","",".","20.8","",".",".","",".","3.3","0.5",".","3.3","."
