"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","",""
"EGR","","","","","","","","","","","","","","","","","","","","","","","",""
"ENGINEERING PHYSICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"347
E P","","","","","","","","","","","","","","","","","","","","","","","",""
"Engr Problem Solving I","271
001","","40","2.813","12.5","35.0","15.0","17.5","7.5","5.0","7.5",".","",".","",".",".","",".","",".",".",".","."
"Intro to Engineering Research","468
001","","4","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Research Proposal-Engr Physics","469
001","","5","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Engineering Analysis I","547
001","","17","3.588","41.2","47.1",".","11.8",".",".",".",".","",".","",".",".","",".","",".",".",".","."
"Research Pract-Engr Physics I","568
001","","2","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Research Pract-Engr Physics II","569
001","","2","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","602
002","","20","3.900","80.0","20.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".","."
"","602
003","","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Special Topics in EP","Course Total","","21","3.900","76.2","19.0",".",".",".",".",".","",".","",".",".","",".","",".",".",".","4.8","."
"Micro- and Nanoscale Mechanics","615
001","","2","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"EP Graduate Seminar","920
001","","2","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"E P
347","Dept. Total","","95","3.198","35.8","32.6","6.3","9.5","3.2","2.1","3.2","",".","",".","2.1","",".","",".","4.2",".","1.1","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"347
E P","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","12","2.676","16.7","33.3","25.0",".","8.3",".","16.7","",".","",".",".","",".","",".",".",".",".","."
"Junior","","","30","2.980","23.3","40.0","6.7","16.7","6.7","3.3","3.3","",".","",".",".","",".","",".",".",".",".","."
"Senior","","","32","3.452","53.1","21.9","3.1","6.3",".","3.1",".","",".","",".",".","",".","",".","12.5",".",".","."
"Undergraduates","","","74","3.069","35.1","31.1","8.1","9.5","4.1","2.7","4.1","",".","",".",".","",".","",".","5.4",".",".","."
"Special","","","1","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","","","20","3.588","35.0","40.0",".","10.0",".",".",".","",".","",".","10.0","",".","",".",".",".","5.0","."
"","Dept. Total","","95","3.198","35.8","32.6","6.3","9.5","3.2","2.1","3.2","",".","",".","2.1","",".","",".","4.2",".","1.1","."
