"INTERDIS COURSES  (ENGR)","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"496
INTEREGR","","","","","","","","","","","","","","","","","","",""
"","170
001","105","3.886","80.0","17.1","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
002","139","3.860","76.3","22.3","0.7",".",".","0.7",".",".",".",".",".",".",".",".",".","."
"Design Practicum","Course Total","244","3.871","77.9","20.1","1.6",".",".","0.4",".",".",".",".",".",".",".",".",".","."
"","303
001","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","303
002","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Appl Leadership Cmptence in Eg","Course Total","39","3.987","97.4","2.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
001","21","3.500","33.3","38.1","23.8","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","397
002","22","3.568","50.0","31.8","13.6",".",".","4.5",".",".",".",".",".",".",".",".",".","."
"","397
003","22","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
004","21","3.905","81.0","19.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
005","25","3.320","16.0","40.0","36.0","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"","007
397","27","3.519","25.9","51.9","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
009","27","3.593","33.3","51.9","14.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
010","27","3.500","37.0","14.8","37.0",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"","397
011","21","3.571","61.9","23.8","4.8","4.8",".",".","4.8",".",".",".",".",".",".",".",".","."
"","397
013","26","3.731","50.0","46.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
014","20","3.750","55.0","40.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
015","25","3.400","12.0","56.0","32.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","016
397","21","3.429","19.0","47.6","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
017","18","3.278","27.8","38.9","11.1","16.7",".","5.6",".",".",".",".",".",".",".",".",".","."
"","018
397","21","3.571","52.4","23.8","14.3","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"","397
019","21","3.595","61.9","23.8","9.5",".",".",".","4.8",".",".",".",".",".",".",".",".","."
"Engineering Communication","Course Total","365","3.573","43.3","35.3","17.0","2.2","0.3","0.5","0.5",".",".",".",".",".","0.8",".",".","."
"","601
002","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
601","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"","601
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","601
005","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","601
007","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","601
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Interdis Engineering","Course Total","34","4.000","97.1",".",".",".",".",".",".",".",".",".",".",".","2.9",".",".","."
