"","ELECTRICAL AND COMPUTER E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","",""
"Communication Systems I","436","001","25","3.420","36.0","12.0","52.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Robotics","439","001","29","3.310","44.8","10.3","24.1","17.2",".",".","3.4",".",".",".",".",".",".",".",".","."
"Applied Communications Sys","447","001","9","3.938","77.8","11.1",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Mobile Computing Laboratory","454","001","33","3.955","93.9","3.0","3.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Medical Instrumentation","462","001","16","3.188","6.3","50.0","25.0","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"Honors in Research","489","066","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Design Project","491","047","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Software Engineering","506","001","7","3.571","71.4",".","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Optimization","524","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Plasmas","525","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Plasma Processng & Technlgy","528","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","532","001","18","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","532","002","21","3.524","23.8","57.1","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","532","004","19","3.711","63.2","15.8","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mtrx Mthds in Machine Learning","","Course Total","58","3.647","46.6","36.2","17.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Image Processing","533","001","33","3.500","39.4","42.4","12.1","3.0",".",".","3.0",".",".",".",".",".",".",".",".","."
"Integrated Optics&Optoelect","536","001","10","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Artificl Neural Ntwrks","539","001","31","3.452","25.8","38.7","35.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Integrated Circuit Design","548","001","14","3.429","50.0","28.6","14.3",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"","551","001","85","3.400","30.6","32.9","24.7","9.4","2.4",".",".",".",".",".",".",".",".",".",".","."
"","551","002","31","3.210","25.8","19.4","32.3","16.1","6.5",".",".",".",".",".",".",".",".",".",".","."
"Digital Sys Design & Synthesis","","Course Total","116","3.349","29.3","29.3","26.7","11.2","3.4",".",".",".",".",".",".",".",".",".",".","."
"Intro-Computer Architecture","552","001","86","3.279","50.0","14.0","14.0","9.3","3.5","7.0","2.3",".",".",".",".",".",".",".",".","."
"Digital Engineering Lab","554","001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Circuits&Components","555","001","61","3.410","39.3","23.0","23.0","9.8","4.9",".",".",".",".",".",".",".",".",".",".","."
"","561","001","27","3.667","48.1","37.0","14.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","561","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Prob& InfoTheory in Mach Learn","","Course Total","28","3.679","50.0","35.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Grad Seminar in ECE","610","001","130","3.873","92.3",".","4.6","0.8",".","2.3",".",".",".",".",".",".",".",".",".","."
"","699","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","053","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","058","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","061","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","066","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","071","2","***","","","","","","","","","",".",".",".",".",".",".","."
"January 05, 2022","","","","","","","","","","","","","","","","","","","Page 130 of 464",""
