"","999
058","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
061","7","4.000","100.0",".",".",".",".",".",".",".",".","",".",".","",".",".",".",".","."
"","999
069","4","***","","","","","","","","","","",".",".","",".",".",".",".","."
"Advanced Independent Study","Course Total","14","4.000","71.4",".",".",".",".",".",".",".","",".",".","",".","28.6",".",".",".","."
"CIV ENGR
240","Dept. Total","1199","3.444","42.5","18.8","20.9","5.3","3.1","0.7","0.3","6.4","",".",".","",".","1.5","0.5",".","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"240
CIV ENGR","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","","33","3.172","21.2","9.1","60.6",".","3.0","3.0",".",".","",".",".","",".",".",".",".","3.0","."
"Junior","","171","3.150","22.2","25.1","29.8","12.9","7.0","1.2","0.6",".","",".",".","",".",".","1.2",".",".","."
"Senior","","651","3.446","42.5","22.3","24.9","5.7","3.7","0.5","0.2",".","",".",".","",".",".","0.3",".",".","."
"Undergraduates","","856","3.376","37.6","22.3","27.2","7.0","4.3","0.7","0.2",".","",".",".","",".",".","0.5",".","0.1","."
"Special","","9","2.786","22.2","22.2",".","11.1",".","22.2",".","22.2","",".",".","",".",".",".",".",".","."
"Graduate","","334","3.773","55.4","9.6","5.1","0.6",".",".","0.6","22.5","",".",".","",".","5.4","0.6",".","0.3","."
"","Dept. Total","1199","3.444","42.5","18.8","20.9","5.3","3.1","0.7","0.3","6.4","",".",".","",".","1.5","0.5",".","0.2","."
