"MICROBIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"192
MICROBIO","","","","","","","","","","","","","","","","","","",""
"General Microbiology","101
001","280","3.064","27.5","13.2","33.2","9.6","11.4","3.6","1.4",".",".",".",".",".",".",".",".","."
"","102
001","36","3.417","44.4","16.7","33.3",".","2.8",".","2.8",".",".",".",".",".",".",".",".","."
"","102
002","31","3.383","35.5","16.1","35.5","6.5","3.2",".",".",".",".",".",".",".","3.2",".",".","."
"","003
102","36","3.417","44.4","11.1","33.3","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"","102
005","19","3.500","42.1","10.5","42.1",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"General Microbiology Lab","Course Total","122","3.421","41.8","13.9","35.2","3.3","3.3",".","0.8",".",".",".",".",".","1.6",".",".","."
"","299
020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
043","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
071","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
096","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Biology of Microorganisms","303
001","208","3.036","23.1","23.6","24.0","8.7","15.9","3.4","1.4",".",".",".",".",".",".",".",".","."
"","304
001","38","3.329","39.5","10.5","39.5","2.6","5.3","2.6",".",".",".",".",".",".",".",".",".","."
"","002
304","34","3.265","29.4","20.6","41.2","2.9","2.9",".","2.9",".",".",".",".",".",".",".",".","."
"","304
003","31","3.387","29.0","29.0","35.5","3.2","3.2",".",".",".",".",".",".",".",".",".",".","."
"","304
004","39","3.250","33.3","12.8","38.5","5.1","5.1",".","2.6",".",".",".",".",".","2.6",".",".","."
"Biology of Microorganisms Lab","Course Total","142","3.305","33.1","17.6","38.7","3.5","4.2","0.7","1.4",".",".",".",".",".","0.7",".",".","."
"","305
001","15","3.800","86.7",".","6.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","305
002","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
003","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Critical Analyses-Microbiology","Course Total","47","3.936","95.7",".","2.1",".","2.1",".",".",".",".",".",".",".",".",".",".","."
"Food Microbiology Laboratory","324
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Food Microbiology","001
325","24","3.000","25.0","16.7","29.2","8.3","12.5","8.3",".",".",".",".",".",".",".",".",".","."
"Divrsty, Ecol&Evolutn-Microrg","450
001","35","3.314","31.4","14.3","42.9","8.6","2.9",".",".",".",".",".",".",".",".",".",".","."
"Micro Genetics & Mol Machines","470
001","44","3.465","38.6","31.8","13.6","9.1","4.5",".",".","2.3",".",".",".",".",".",".",".","."
"Physiol of Microorganisms","526
001","58","3.595","62.1","12.1","17.2","3.4","3.4","1.7",".",".",".",".",".",".",".",".",".","."
"Adv Lab Techniques - Microbio","527
001","67","3.336","44.8","14.9","26.9","1.5","6.0","6.0",".",".",".",".",".",".",".",".",".","."
"Prokaryotic Molecular Biol","612
001","11","3.591","45.5","27.3","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681
043","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","682
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","691
018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
010","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
012","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
013","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
017","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 05, 2022","","","","","","","","","","","","","","","","","","","Page 10 of 464"
