"MANAGEMENT AND HUMAN RES Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","","","",""
"","706","021","","36","3.986","97.2","2.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","706","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Leading and Working in Teams","","Course Total","","83","3.994","98.8","1.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneurial Management","722","001","","43","3.826","65.1","34.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723","030","","36","3.514","36.1","33.3","27.8","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"","723","041","","23","3.761","60.9","30.4","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Business Strategy","","Course Total","","59","3.610","45.8","32.2","20.3","1.7",".",".",".",".",".",".",".",".",".",".",".","."
"Barg,Negot,Dispute Settlmnt","728","001","","38","3.987","97.4","2.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bhv Anal-Mgt Decisn Making","729","001","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Venture Creation","734","001","","41","3.866","78.0","17.1","4.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Enterprise Fellowship Seminar","739","001","","19","3.947","94.7",".","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nonprofit Brd Leadrship Devp I","742","001","","21","3.667","81.0",".","9.5",".","4.8","4.8",".",".",".",".",".",".",".",".",".","."
"Impact Consulting for Arts","746","001","","19","3.750","63.2","15.8","15.8",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"","765","002","","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765","040","","23","3.935","91.3","4.3","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765","041","","23","3.727","47.8","43.5","4.3",".",".",".",".",".",".",".",".",".","4.3",".",".","."
"Contemporary Topics","","Course Total","","56","3.811","69.6","23.2","5.4",".",".",".",".",".",".",".",".",".","1.8",".",".","."
"Seminar-Arts Administration","773","001","","19","3.917","78.9","15.8",".",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"Reading & Rsch-Management","799","067","","18","4.000","94.4",".",".",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"Doctoral Rsch Smr in Mgmt","975","001","","7","3.643","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Emerging Entrepreneurship","977","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","129","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","133","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","146","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","208","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Management","","Course Total","","7","",".",".",".",".",".",".",".","71.4",".",".",".","28.6",".",".",".","."
"Read&Rsch-Mgmt&H Resrcs PhD","999","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
