"BIOLOGICAL SYSTEMS ENGINE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"112
BSE","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Educ Program","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"249
Engr Principles-Biol Systms","001","","39","2.795","15.4","5.1","35.9","15.4","25.6","2.6",".",".",".",".",".",".",".",".",".","."
"270
Intro to Computer Aided Design","001","","28","3.407","32.1","39.3","14.3","3.6","3.6","3.6",".","3.6",".",".",".",".",".",".",".","."
"299","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"367","001","","69","3.455","40.6","26.1","18.8","5.8","2.9",".","1.4","4.3",".",".",".",".",".",".",".","."
"367","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Renewable Energy Systems","Course Total","","74","3.458","40.5","25.7","20.3","5.4","2.7",".","1.4","4.1",".",".",".",".",".",".",".","."
"372
On-Site Waste Water Treatment","001","","28","3.107","28.6","7.1","35.7","21.4","3.6","3.6",".",".",".",".",".",".",".",".",".","."
"375
Special Topics","001","","23","3.804","60.9","39.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"380
Data Science for Life Science","001","","23","3.714","52.2","26.1","13.0",".",".",".",".",".",".",".",".",".","8.7",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"461
Food&Bioprocessing Operations","001","","8","2.938","25.0",".","37.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".","."
"473
Water Mgmt Systems","001","","40","3.500","42.5","32.5","10.0","12.5","2.5",".",".",".",".",".",".",".",".",".",".","."
"475
Engr Principles-Ag Machinery","001","","24","3.896","87.5","4.2","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"491
Legal Aspects-Engineering","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"509
Biol Sys Eng Dsgn Practicum II","001","","64","3.602","43.8","37.5","14.1","4.7",".",".",".",".",".",".",".",".",".",".",".","."
"517
Biology in Engineering Seminar","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"799
Practicum-Ag Engr Teaching","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"900
Seminar","001","","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","013","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","018","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","31","",".",".",".",".",".",".",".","61.3",".",".",".","38.7",".",".",".","."
