"LATIN (CLASSICS)","Section","#","","Ave","A","AB","B","BC","C","","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"524
LATIN","","","","","","","","","","","","","","","","","","","","","","","",""
"","103
001","","12","3.167","33.3","25.0","8.3","25.0","",".","8.3",".",".",".","",".",".","",".","",".",".",".","."
"","103
002","","12","3.667","50.0","33.3","16.7",".","",".",".",".",".",".","",".",".","",".","",".",".",".","."
"","103
003","","17","3.382","29.4","35.3","17.6","17.6","",".",".",".",".",".","",".",".","",".","",".",".",".","."
"","103
004","","5","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Elementary Latin","Course Total","","46","3.435","37.0","34.8","13.0","13.0","",".","2.2",".",".","",".",".","",".","",".",".",".",".","."
"Intermediate Latin","203
001","","15","3.400","26.7","40.0","20.0","13.3","",".",".",".",".",".","",".",".","",".","",".",".",".","."
"Latin Lit of Roman Republic","301
001","","13","3.846","69.2","30.8",".",".","",".",".",".",".",".","",".",".","",".","",".",".",".","."
"Roman Novel","524
001","","16","3.700","81.3","6.3",".",".","",".",".","6.3",".",".","",".",".","",".","","6.3",".",".","."
"Individual Research Thesis","890
041","","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"LATIN
524","Dept. Total","","91","3.514","47.3","29.7","9.9","8.8","",".","1.1","1.1","1.1","",".",".","",".","",".","1.1",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"524
LATIN","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","29","3.345","31.0","34.5","17.2","13.8","",".","3.4",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","","10","3.676","60.0","30.0",".","10.0","",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","","19","3.447","36.8","42.1","5.3","5.3","",".",".","5.3",".","",".",".","",".","",".","5.3",".",".","."
"Senior","","","17","3.582","52.9","23.5","17.6","5.9","",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","","75","3.464","41.3","33.3","12.0","9.3","",".","1.3","1.3",".","",".",".","",".","",".","1.3",".",".","."
"Special","","","3","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","","","12","3.956","83.3","8.3",".",".","",".",".",".","8.3","",".",".","",".","",".",".",".",".","."
"Prof Yr 3","","","1","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Professionals","","","1","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"","Dept. Total","","91","3.514","47.3","29.7","9.9","8.8","",".","1.1","1.1","1.1","",".",".","",".","",".","1.1",".",".","."
