"COMPUTER SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"","200
001","201","3.320","43.8","16.4","22.9","6.5","5.5","2.0","2.5",".",".",".",".",".","0.5",".",".","."
"","002
200","205","3.232","38.0","15.6","28.3","6.3","6.3","2.9","2.4",".",".",".",".",".",".",".",".","."
"","200
003","199","3.286","43.2","16.1","20.6","10.1","6.0","0.5","3.5",".",".",".",".",".",".",".",".","."
"","200
004","196","3.042","33.2","15.8","18.4","12.8","8.2","3.6","5.1","0.5","0.5",".",".",".","1.0","1.0",".","."
"Programming I","Course Total","801","3.222","39.6","16.0","22.6","8.9","6.5","2.2","3.4","0.1","0.1",".",".",".","0.4","0.2",".","."
"","220
001","171","3.426","36.3","34.5","18.7","4.7","2.3","2.3","0.6",".",".",".",".",".","0.6",".",".","."
"","220
002","171","3.409","38.6","35.1","17.5","0.6","2.9","1.8","2.9",".",".",".",".",".","0.6",".",".","."
"","220
003","179","3.497","43.0","31.3","19.0","2.2","2.2","1.1","1.1",".",".",".",".",".",".",".",".","."
"","220
004","188","3.500","43.6","30.9","17.6","3.7","1.6","0.5","1.6",".",".",".",".",".","0.5",".",".","."
"","220
005","88","3.588","54.5","21.6","13.6","1.1","3.4","2.3",".","1.1",".",".",".",".","1.1",".","1.1","."
"Data Sci Programming I","Course Total","797","3.473","42.0","31.6","17.7","2.6","2.4","1.5","1.4","0.1",".",".",".",".","0.5",".","0.1","."
"","240
001","105","3.228","27.6","22.9","24.8","15.2","2.9","1.9","1.0",".",".",".",".",".","3.8",".",".","."
"","240
002","127","3.215","29.1","11.8","34.6","17.3","3.1",".","0.8",".",".",".",".",".","3.1",".",".","."
"","240
003","112","3.042","25.9","15.2","30.4","12.5","5.4","3.6","3.6",".","0.9",".",".",".","2.7",".",".","."
"Intro to Discrete Mathematics","Course Total","344","3.163","27.6","16.3","30.2","15.1","3.8","1.7","1.7",".","0.3",".",".",".","3.2",".",".","."
"","252
002","158","3.035","41.8","12.7","11.4","9.5","13.3","3.8","6.3",".",".",".",".",".","1.3",".",".","."
"","004
252","115","3.187","44.3","13.9","12.2","9.6","14.8","2.6","2.6",".",".",".",".",".",".",".",".","."
"","005
252","144","3.374","52.1","14.6","13.9","2.8","13.2","0.7","2.1",".",".",".",".",".","0.7",".",".","."
"Intro to Computer Engineering","Course Total","417","3.194","46.0","13.7","12.5","7.2","13.7","2.4","3.8",".",".",".",".",".","0.7",".",".","."
"","298
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","298
139","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","298
167","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","298
168","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study in Comp Sci","Course Total","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","300
001","172","3.426","33.7","32.6","24.4","3.5","1.7","2.3",".",".",".",".",".",".","1.7",".",".","."
"","300
002","167","3.370","37.7","27.5","21.0","6.0","2.4","3.0","1.2",".",".",".",".",".","1.2",".",".","."
"","300
003","159","3.147","29.6","22.6","26.4","8.8","2.5","5.0","3.1",".",".",".",".",".","1.9",".",".","."
"","300
004","164","3.142","31.1","19.5","28.7","9.8","0.6","6.1","3.0",".",".",".",".",".","1.2",".",".","."
"Programming II","Course Total","662","3.275","33.1","25.7","25.1","6.9","1.8","4.1","1.8",".",".",".",".",".","1.5",".",".","."
"","001
304","9","3.778","77.8",".","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","304
002","11","3.850","81.8",".",".","9.1",".",".","9.1",".",".",".",".",".",".",".",".","."
"","304
003","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","304
004","11","3.500","81.8",".",".","9.1",".",".","9.1",".",".",".",".",".",".",".",".","."
"","304
005","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","304
006","10","3.550","70.0",".",".","30.0",".",".",".",".",".",".",".",".",".",".",".","."
"","304
007","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","304
008","7","4.000","85.7",".",".",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"","009
304","12","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"WES-CS Group Meeting","Course Total","91","3.815","84.6","2.2","4.4","5.5",".",".","3.3",".",".",".",".",".",".",".",".","."
"","319
001","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","319
002","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","319
003","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
