"MEDICAL SCIENCES - VET MED","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","",""
"Sm Animal Emrgncy&Crit Care II","577
001","36","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Companion Animal&Equine Med I","632
001","98","3.281","27.6","19.4","41.8","4.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"Food Animal Medicine","634
001","98","3.066","17.3","18.4","42.9","5.1","15.3","1.0",".",".",".",".",".",".",".",".",".","."
"","667
001","16","4.000","37.5",".",".",".",".",".",".","62.5",".",".",".",".",".",".",".","."
"","667
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Small Animal Neurology","Course Total","17","4.000","35.3",".",".",".",".",".",".","64.7",".",".",".",".",".",".",".","."
"Clin Dermatology Rotation","668
001","14","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"Small Anml Cardiolgy Rotatn","669
001","24","4.000","33.3",".",".",".",".",".",".","66.7",".",".",".",".",".",".",".","."
"","670
001","36","4.000","27.8",".",".",".",".",".",".","72.2",".",".",".",".",".",".",".","."
"","670
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sr Rotation:Lrge Animal Med","Course Total","37","4.000","27.0",".",".",".",".",".",".","73.0",".",".",".",".",".",".",".","."
"Sr Rotation:Ambulatory Serv","674
001","35","4.000","77.1",".",".",".",".",".",".","17.1",".",".",".",".","2.9",".","2.9","."
"","675
001","41","4.000","51.2",".",".",".",".",".",".","36.6",".",".",".",".","2.4",".","9.8","."
"","675
003","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
004","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
005","56","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
007","27","4.000","25.9",".",".",".",".",".",".","70.4",".",".",".",".",".",".","3.7","."
"","675
008","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
010","18","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","675
014","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","675
026","17","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
057","24","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Special Topics","Course Total","224","4.000","49.1",".",".",".",".",".",".","48.2",".",".",".",".","0.4",".","2.2","."
"","678
001","50","4.000","20.0",".",".",".",".",".",".","80.0",".",".",".",".",".",".",".","."
"","678
002","8","4.000","37.5",".",".",".",".",".",".","62.5",".",".",".",".",".",".",".","."
"Small Animal Internal Med","Course Total","58","4.000","22.4",".",".",".",".",".",".","77.6",".",".",".",".",".",".",".","."
"Small Animal Oncology","679
001","21","4.000","42.9",".",".",".",".",".",".","57.1",".",".",".",".",".",".",".","."
"","699
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
007","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
028","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
041","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
060","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","699
074","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
113","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
118","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
135","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
138","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","41","4.000","46.3",".",".",".",".",".",".","51.2",".",".",".",".",".",".","2.4","."
"Production Medicine I","701
001","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
