"CIVIL AND ENVIRONMENTAL EN Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"240
CIV ENGR","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","13","3.833","76.9",".","15.4",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"Intro to Architectural Theory","150","001","","12","3.636","58.3","8.3","16.7","8.3",".",".",".",".",".",".",".",".",".",".","8.3","."
"Architectural Making I","151","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Prob Solv Using Cmptr Tools","291","001","","50","3.080","16.0","32.0","20.0","20.0","10.0","2.0",".",".",".",".",".",".",".",".",".","."
"Fluid Mechanics","310","001","","74","3.095","14.9","25.7","36.5","12.2","9.5","1.4",".",".",".",".",".",".",".",".",".","."
"Hydroscience","311","001","","60","3.208","25.0","33.3","21.7","8.3","8.3","1.7","1.7",".",".",".",".",".",".",".",".","."
"Environmental Engineering","320","001","","79","3.228","20.3","21.5","48.1","3.8","6.3",".",".",".",".",".",".",".",".",".",".","."
"Environmentl Engr Processes","322","001","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Envr Engr Thermodynamics","324","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Soil Mechanics","330","001","","42","3.238","14.3","23.8","57.1","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Structural Analysis I","340","001","","48","3.552","52.1","12.5","29.2","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Frank Lloyd Wright - Design","352","001","","8","3.286","12.5","25.0","50.0",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Transportation Engineering","370","001","","53","3.028","15.1","17.0","41.5","15.1","9.4","1.9",".",".",".",".",".",".",".",".",".","."
"On-Site Waste Water Treatment","372","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","","7","3.429","57.1",".","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Building Information Modeling","392","004","","23","3.913","82.6","17.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Matrls-Constructed Facilities","395","001","","43","3.198","30.2","9.3","44.2","7.0","7.0","2.3",".",".",".",".",".",".",".",".",".","."
"Hydrology","415","001","","10","3.150","10.0","20.0","60.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","426","001","","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","426","002","","13","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","426","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Dsgn-Wastewtr Treatmnt Plnt","","Course Total","","27","3.889","81.5","14.8","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","427","001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","427","002","","24","3.913","83.3","8.3","4.2",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"","427","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Solid&Hazardous Wastes Engr","","Course Total","","43","3.952","90.7","4.7","2.3",".",".",".",".",".",".",".",".",".","2.3",".",".","."
"Structural Analysis II","440","001","","6","3.600","33.3","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","16.7","."
"Steel Structures I","445","001","","36","3.347","27.8","41.7","13.9","11.1","2.8","2.8",".",".",".",".",".",".",".",".",".","."
"Architectural Design","451","001","","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Aspects-Engineering","491","001","","16","3.250","25.0","25.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"Civ&Envr Engr Decisn Making","494","001","","34","3.265","23.5","35.3","26.5","5.9","5.9","2.9",".",".",".",".",".",".",".",".",".","."
"Mech Systems for Construction","497","001","","10","3.750","70.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Constructn Project Managmnt","498","001","","49","3.449","24.5","59.2","8.2","6.1",".",".","2.0",".",".",".",".",".",".",".",".","."
"Water Chemistry","500","001","","21","3.643","47.6","33.3","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Coastal Engineering","514","001","","12","3.773","50.0","41.7",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Seepage and Slopes","530","001","","28","3.339","42.9","10.7","28.6","7.1","10.7",".",".",".",".",".",".",".",".",".",".","."
"Concrete Structures II","547","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Urban Transport Planning","571","001","","17","3.912","82.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
