"","CURRICULUM AND INSTRUCTIO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","",""
"Crit Aspects Teach, Schl, Educ","240","001","44","3.955","93.2","4.5","2.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp issues in K-12 Schools","276","001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Videogames & Learning","277","001","208","3.838","86.1","8.2","0.5","1.9","1.0","1.0","1.0",".",".",".",".",".","0.5",".",".","."
"Globalizing Education","292","001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Music Learning and Teaching 1","301","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Comp Arr & Orch for Mus Teach","304","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Tchg Rdg & Other Lang Arts","305","001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Read&Write Across Content Area","309","001","25","3.880","88.0","8.0",".",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"Language Acquisition and Use","311","001","27","3.852","96.3",".",".",".",".",".","3.7",".",".",".",".",".",".",".",".","."
"ESL/Bilingual Issues","312","001","27","3.962","92.6",".","3.7",".",".",".",".",".",".",".",".",".","3.7",".",".","."
"Rdg & Wrtg in Early Childhood","315","001","19","3.921","89.5","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"ESL/Bilingual Methods","316","001","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dimensions of Literacy","317","001","27","3.846","92.6",".",".",".",".",".","3.7",".",".",".",".",".","3.7",".",".","."
"Teaching Reading and Writing","318","001","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"PCK for Teaching Elem Math 1","319","001","24","3.583","62.5","16.7","16.7",".",".",".","4.2",".",".",".",".",".",".",".",".","."
"PCK for Teaching Elem Math 2","320","001","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Educ Young English Learners","325","001","25","3.958","88.0","8.0",".",".",".",".",".",".",".",".",".",".","4.0",".",".","."
"Mthds Young Eng Learners","327","001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","328","002","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","328","003","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Arts Integration","","Course Total","32","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Education Outside School","331","001","9","4.000","77.8",".",".",".",".",".",".",".",".",".",".",".","22.2",".",".","."
"Practicum in Teaching Music","337","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Cult Fndtns-Lrng & Dev","339","001","27","3.846","92.6",".",".",".",".",".","3.7",".",".",".",".",".","3.7",".",".","."
"Elementary Educ Practicum One","340","001","27","",".",".",".",".",".",".",".",".",".","88.9","3.7",".",".",".",".","."
"Teaching World Languages(6-12)","343","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","357","001","19","3.658","47.4","47.4",".",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","357","002","10","3.444","50.0",".","30.0",".","10.0",".",".",".",".",".",".",".","10.0",".",".","."
"","357","003","18","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Game Design I","","Course Total","47","3.685","61.7","19.1","12.8",".","4.3",".",".",".",".",".",".",".","2.1",".",".","."
"Tchg of Hist & Other Soc St","359","001","27","3.926","85.2","14.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prac-Early Chldhd Ed-Kinder","363","001","25","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","364","001","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","364","002","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Education","","Course Total","42","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tching Math in Inclusive Set","365","001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem Teaching Practicum II","367","001","20","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"The Teaching of Reading","368","001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","369","002","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 05, 2022","","","","","","","","","","","","","","","","","","","","Page 88 of 464"
