"NURSING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","",""
"437","002","","79","3.968","93.7","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soc Justice in Loc & Glb Stgs","Course Total","","157","3.952","92.4","6.4","0.6","0.6",".",".",".",".",".",".",".",".",".",".",".","."
"470","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"470","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"School Nursing and Comm Hlth","Course Total","","6","3.231","16.7","50.0","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"510
Culturally Congruent Practice","001","","49","3.806","79.6","14.3","4.1",".",".",".","2.0",".",".",".",".",".",".",".",".","."
"681","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","053","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","070","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"681","081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","092","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","097","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","19","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study in Nursing","Course Total","","2","***","","","","","","","","","","","","","","","",""
"702
Hlth Promo&Disease Prevention","001","","31","3.919","90.3","6.5",".","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"704
Ldrshp in Adv Practc Nursing I","001","","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"706","001","","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"706","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Nursing Research","Course Total","","35","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"709
Leadership Foundations in Nurs","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"715
Eval of Hlth Inform Solutions","004","","22","3.976","90.9","4.5",".",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"722
Adv Prac Nursing Thry: Adults","001","","25","3.920","88.0","8.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"726","011","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"726","021","","7","3.571","14.3","85.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"726","041","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"726","061","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Foundations APN Clin Pract I","Course Total","","28","3.821","64.3","35.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"728","012","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"728","022","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"728","041","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"728","062","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"728","063","","5","***","","","","","","","","","",".",".",".",".",".",".","."
