"FOREST AND WILDLIFE ECOLO","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"396
F&W ECOL","","","","","","","","","","","","","","","","","","","",""
"Forests of the World","100","001","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Orientation to Wildlfe Ecology","101","001","35","3.843","77.1","20.0",".",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"Living with Wildlife","110","001","168","2.982","23.2","22.0","16.1","16.1","14.3","4.2","1.8","0.6",".",".",".",".","1.8",".",".","."
"Envir, Nat Resources & Society","248","001","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","026","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","052","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","5","***","","","","","","","","","","","","","","","",""
"Principles-Wildlife Ecology","318","001","39","3.000","17.9","35.9","10.3","10.3","17.9","2.6","2.6",".",".",".",".",".","2.6",".",".","."
"Extinction of Species","360","001","40","3.275","32.5","27.5","12.5","17.5","10.0",".",".",".",".",".",".",".",".",".",".","."
"Learning to Action: Prof Dev","390","001","11","3.636","54.5","36.4",".",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","399","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Physiologicl Animal Ecology","401","001","45","3.409","44.4","22.2","13.3","8.9","6.7","2.2",".",".",".",".",".",".",".","2.2",".","."
"Dendrology","402","001","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Vegetation of Wisconsin","455","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"General Ecology","460","001","7","3.429","14.3","57.1","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Natural Resources Policy","515","001","13","3.192","38.5","23.1","23.1",".","7.7",".","7.7",".",".",".",".",".",".",".",".","."
"Diseases of Wildlife","548","001","54","3.176","37.0","16.7","22.2","7.4","11.1","3.7","1.9",".",".",".",".",".",".",".",".","."
"","550","001","16","3.719","62.5","18.8","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","550","002","17","3.706","58.8","35.3",".",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Forest Ecology","","Course Total","33","3.712","60.6","27.3","9.1",".","3.0",".",".",".",".",".",".",".",".",".",".","."
"Forest Ecology Lab","551","002","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wildlife Management Tech","561","002","36","3.614","55.6","25.0","13.9",".",".",".","2.8",".",".",".",".",".","2.8",".",".","."
"","571","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","571","002","8","3.375","12.5","50.0","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Meth for Bioscience I","","Course Total","11","3.500","27.3","45.5","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Complex Conservation of Deer","577","001","13","3.577","38.5","38.5","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Integrated Resource Mgmt","590","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Conservation Biology","651","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Climate Change Ecology","660","001","28","3.875","78.6","17.9","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Thesis","691","052","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","026","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","037","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","052","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","","Course Total","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","875","001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intr. to WI Ecol.: Grad Sem","953","001","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
