"DANCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","",""
"Understanding Dance","100
001","49","3.684","83.7","4.1",".","2.0","6.1","2.0","2.0",".",".",".",".",".",".",".",".","."
"","101
001","38","3.789","81.6","5.3","10.5",".",".","2.6",".",".",".",".",".",".",".",".",".","."
"","101
002","33","3.788","78.8","6.1","12.1",".","3.0",".",".",".",".",".",".",".",".",".",".","."
"Ballroom Dance I","Course Total","71","3.789","80.3","5.6","11.3",".","1.4","1.4",".",".",".",".",".",".",".",".",".","."
"Modern Jazz Dance","103
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Ballet I","105
001","24","3.958","95.8",".","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Dance I","107
001","22","3.705","77.3","13.6","4.5",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"","001
110","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
010","33","3.828","81.8","6.1","3.0","3.0","3.0",".",".",".",".",".",".",".","3.0",".",".","."
"","110
011","45","3.932","86.7","8.9","2.2",".",".",".",".",".",".",".",".",".","2.2",".",".","."
"","110
013","22","3.727","77.3","4.5","9.1","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"","110
014","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Dance Activity","Course Total","137","3.878","85.4","6.6","3.6","1.5","1.5",".",".",".",".",".",".",".","1.5",".",".","."
"","111
002","19","3.632","73.7","10.5","10.5",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"","111
003","17","3.588","76.5","11.8",".",".","5.9",".","5.9",".",".",".",".",".",".",".",".","."
"Cont Dance Technique&Theory I","Course Total","36","3.618","75.0","11.1","5.6",".","2.8",".","5.6",".",".",".",".",".",".",".",".","."
"","115
001","20","3.900","95.0",".",".",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","115
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Hip-Hop Dance Tech&Theory1","Course Total","21","3.900","90.5",".",".",".","4.8",".",".",".",".",".",".",".",".",".","4.8","."
"","118
001","16","3.875","93.8",".",".",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","118
002","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"African Dance","Course Total","22","3.909","95.5",".",".",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"Asian American Movement","001
121","19","3.605","78.9","5.3","5.3",".","5.3",".","5.3",".",".",".",".",".",".",".",".","."
"","125
001","12","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
002","13","4.000","76.9",".",".",".",".",".",".","15.4",".",".",".",".","7.7",".",".","."
"Ballet Technique I","Course Total","25","3.932","80.0","4.0","4.0",".",".",".",".","8.0",".",".",".",".","4.0",".",".","."
"Wkshp Body Studies & Practices","132
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","133
001","25","3.800","76.0",".",".",".",".",".","4.0","8.0",".",".",".",".","8.0",".","4.0","."
"","133
002","29","3.966","96.6",".","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Relax Techs for Stress Mgmt","Course Total","54","3.898","87.0",".","1.9",".",".",".","1.9","3.7",".",".",".",".","3.7",".","1.9","."
"","001
135","28","3.393","35.7","35.7","17.9","7.1",".",".","3.6",".",".",".",".",".",".",".",".","."
"","135
002","28","3.357","57.1","17.9","7.1","3.6","3.6","7.1","3.6",".",".",".",".",".",".",".",".","."
"","135
003","27","3.852","81.5","11.1","3.7","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"","004
135","30","3.817","80.0","10.0","3.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Pilates Mat I","Course Total","113","3.606","63.7","18.6","8.0","5.3","0.9","1.8","1.8",".",".",".",".",".",".",".",".","."
"Pilates Equipment I","136
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dance Production","140
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Year Workshop","162
001","12","3.542","66.7","8.3","16.7",".",".","8.3",".",".",".",".",".",".",".",".",".","."
"World Dance Cultures","165
002","19","3.361","63.2","5.3","5.3",".","10.5","10.5",".","5.3",".",".",".",".",".",".",".","."
"","168
001","86","3.637","64.0","12.8","14.0","2.3","3.5",".","1.2","1.2",".",".",".",".","1.2",".",".","."
"","002
168","94","3.785","84.0","4.3","4.3","2.1","2.1","1.1","1.1","1.1",".",".",".",".",".",".",".","."
"January 05, 2022","","","","","","","","","","","","","","","","","","Page 107 of 464",""
