"LAW","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","","",""
"","940
015","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
016","","18","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Law & Contemporary Problems","Course Total","","47","2.250","14.9","2.1","12.8",".",".",".",".","51.1",".",".",".",".",".",".",".","2.1"
"","950
004","","17","0.813","5.9",".","17.6",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"","950
006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Lawyering Skills Course","Course Total","","18","0.813","5.6",".","16.7",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","990
046","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Research","Course Total","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Directed Reading","991
132","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"LAW
528","Dept. Total","","850","1.257","5.4","0.1","13.6",".","1.9",".",".","43.4",".",".",".",".",".",".","1.1","2.0"
