"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"S&A PHM","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","2","***","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Junior","5","***","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Senior","11","3.905","81.8","18.2",".",".",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","18","3.882","83.3","11.1","5.6",".",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Special","1","***","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Graduate","25","4.000","40.0",".",".",".",".","",".","",".","56.0","",".",".","",".","4.0","",".",".",".","."
"Prof Yr 1","138","3.373","27.5","33.3","29.0","6.5","3.6","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 2","3","***","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Prof Yr 3","8","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 4","1","***","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Professionals","150","3.401","33.3","30.7","26.7","6.0","3.3","",".","",".",".","",".",".","",".",".","",".",".",".","."
