"EDU","","","","","","","","","","","","","","","","","","","","","",""
"DANCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","","","","",""
"DANCE
741","Dept. Total","1247","3.780","81.0","7.4","5.0","1.4","1.8","0.7","1.0","0.6","",".",".","",".","",".","0.8","0.1","0.2","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","227","3.649","73.6","11.0","5.7","0.9","2.6","1.8","2.6",".","",".",".","",".","",".","1.8",".",".","."
"Sophomore","","255","3.806","82.7","5.1","6.3","1.6","2.4","0.4",".","0.4","",".",".","",".","",".","0.8",".","0.4","."
"Junior","","258","3.853","86.0","7.4","3.1","1.6","0.8",".","0.8",".","",".",".","",".","",".","0.4",".",".","."
"Senior","","463","3.784","82.3","7.1","5.0","1.5","1.7","0.9","1.1","0.2","",".",".","",".","",".","0.2",".",".","."
"Undergraduates","","1203","3.777","81.5","7.5","5.0","1.4","1.8","0.7","1.1","0.2","",".",".","",".","",".","0.7",".","0.1","."
"Special","","18","3.893","44.4","5.6","5.6",".",".",".",".","16.7","",".",".","",".","",".","5.6","5.6","5.6","11.1"
"Graduate","","22","3.942","86.4","4.5","4.5",".",".",".",".",".","",".",".","",".","",".","4.5",".",".","."
"Prof Yr 2","","2","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 3","","2","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Professionals","","4","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"","Dept. Total","1247","3.780","81.0","7.4","5.0","1.4","1.8","0.7","1.0","0.6","",".",".","",".","",".","0.8","0.1","0.2","0.2"
