"INTERNATIONAL STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"504
INTL ST","","","","","","","","","","","","","","","","","","","",""
"Intro to International Studies","101
001","","257","3.395","34.6","33.5","19.8","6.6","3.5","0.8","1.2",".",".",".",".",".",".",".",".","."
"WIScholars:Wi Intntl Schlr Smr","212
001","","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Arabic Lit & Cinema","302
001","","6","3.300","50.0","16.7",".",".",".","16.7",".",".",".",".",".",".",".","16.7",".","."
"","310
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","310
007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","310
008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","310
010","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","310
011","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","310
013","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","310
015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","310
019","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","310
021","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","310
031","","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","310
032","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","310
033","","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","310
034","","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","310
035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internl Learning Community Smr","Course Total","","84","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Globalization and Education","001
335","","22","3.310","45.5","9.1","27.3","4.5","4.5",".","4.5",".",".",".",".",".","4.5",".",".","."
"Globalizatn, Poverty&Develpmnt","001
373","","23","3.333","21.7","17.4","52.2",".",".",".",".",".",".",".",".",".","4.3",".","4.3","."
"Topics in Global Security","401
001","","21","3.738","57.1","33.3","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Culture in Age of Globalizatn","001
403","","12","3.417","33.3","41.7","8.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"Contentious Politics","431
001","","16","3.750","62.5","18.8",".",".","6.3",".",".","12.5",".",".",".",".",".",".",".","."
"Women's Global Health","535
001","","8","3.375","62.5","25.0",".",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"Topics in Global Security","601
002","","10","3.778","60.0","20.0","10.0",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Senior Thesis","691
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","699
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
