"ENVIR ST - GAYLORD NELSON I","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"Forests of the World","100","001","26","3.920","92.3",".",".",".","3.8",".",".","3.8",".",".",".",".",".",".",".","."
"Agroecology of Food and Ag","103","002","37","3.583","59.5","16.2","10.8","5.4","2.7","2.7",".",".",".",".",".",".","2.7",".",".","."
"Environmental Geology","106","001","73","3.479","49.3","30.1","11.0","2.7","2.7",".","4.1",".",".",".",".",".",".",".",".","."
"Environment & Social Sciences","112","001","236","3.778","70.8","20.3","4.2","0.4","1.7",".","0.8","1.3",".",".",".",".","0.4",".",".","."
"GreenHouse Roots Seminar","117","001","65","3.662","80.0",".","12.3",".","4.6",".","3.1",".",".",".",".",".",".",".",".","."
"Intro Earth System","120","001","101","3.059","15.8","19.8","42.6","9.9","9.9","1.0","1.0",".",".",".",".",".",".",".",".","."
"Green Screen","125","001","100","3.551","38.0","42.0","13.0","4.0",".",".","1.0",".",".",".",".",".","2.0",".",".","."
"Principles-Envrnmtl Science","126","001","56","3.759","69.6","16.1","12.5",".","1.8",".",".",".",".",".",".",".",".",".",".","."
"Physical Systems of Envr","127","001","14","3.786","71.4","21.4",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Global Environmental Issues","139","001","163","3.227","33.1","25.2","24.5","5.5","6.7","1.2","3.7",".",".",".",".",".",".",".",".","."
"Literature and the Environment","153","001","61","3.700","63.9","19.7","11.5",".","1.6","1.6",".",".",".",".",".",".","1.6",".",".","."
"Global Chg: Atmospheric Iss","171","001","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201","001","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201","002","12","3.458","58.3","25.0",".",".","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"","201","003","14","3.750","64.3","21.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Insects and Human Culture","","Course Total","36","3.694","66.7","22.2","5.6",".","2.8","2.8",".",".",".",".",".",".",".",".",".","."
"Our Planet, Our Health","205","001","78","3.872","85.9","7.7","3.8",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"Environment&Global Economy","244","001","46","3.578","47.8","21.7","26.1",".","2.2",".",".",".",".",".",".",".","2.2",".",".","."
"Introductory Ecology","260","001","28","3.696","71.4","7.1","14.3","3.6","3.6",".",".",".",".",".",".",".",".",".",".","."
"IndigenousPeoples&Environment","306","001","95","3.868","73.7","12.6","4.2","1.1",".",".",".",".",".",".",".",".",".",".","8.4","."
"Limnology-Aquatic Resources","315","001","50","3.020","32.0","10.0","30.0","6.0","16.0","2.0","4.0",".",".",".",".",".",".",".",".","."
"","317","001","14","3.929","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","317","002","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Comm Envir Scholars Seminar","","Course Total","31","3.968","96.8",".","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Past Climatic Environments","335","001","14","2.786","7.1","35.7","7.1","21.4","21.4","7.1",".",".",".",".",".",".",".",".",".","."
"Nature, Power and Society","337","001","17","3.385","29.4","23.5","5.9","11.8","5.9",".",".",".",".",".",".",".",".",".","23.5","."
"Environmental Conservation","339","001","49","3.245","30.6","24.5","22.4","6.1","10.2",".","2.0",".",".",".",".",".","2.0",".","2.0","."
"Native North Amer Nat Res Mgmt","345","001","17","3.353","41.2","29.4","17.6","5.9",".",".","5.9",".",".",".",".",".",".",".",".","."
"Climate Change Governance","349","001","111","3.604","50.5","37.8","5.4","1.8","1.8","1.8","0.9",".",".",".",".",".",".",".",".","."
"Introduction to Air Quality","355","001","20","3.316","45.0","20.0","20.0",".",".","5.0","5.0","5.0",".",".",".",".",".",".",".","."
"Extinction of Species","360","001","71","3.239","19.7","29.6","36.6","7.0","7.0",".",".",".",".",".",".",".",".",".",".","."
"Renewable Energy Systems","367","001","23","3.295","21.7","30.4","30.4","8.7","4.3",".",".","4.3",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","11","3.500","45.5","18.2","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Topics: Biol Aspects-Envir St","400","001","20","3.889","85.0",".",".",".","5.0",".",".","5.0",".",".",".",".","5.0",".",".","."
"Topics: Env Perspctve-Phys Sci","401","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","402","001","29","3.879","82.8","10.3","6.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","402","002","8","3.563","12.5","87.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soc Perspectives-Envir Studies","","Course Total","37","3.811","67.6","27.0","5.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Envir Humanities","404","001","22","3.306","22.7","31.8","4.5","18.2","4.5",".",".",".",".",".",".",".","4.5",".","13.6","."
"January 05, 2022","","","","","","","","","","","","","","","","","","","Page 169 of 464",""
