"ANATOMY & PHYSIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"146
ANAT&PHY","","","","","","","","","","","","","","","","","","",""
"Human Physiology and Health","235
001","83","3.177","21.7","28.9","27.7","10.8","7.2","1.2","1.2",".",".",".",".",".",".",".",".","1.2"
"Physiology","335
001","406","2.575","19.7","10.6","20.9","9.1","21.2","13.1","5.2",".",".",".",".",".","0.2",".",".","."
"","337
001","123","3.176","34.1","22.0","15.4","13.0","9.8","3.3","1.6",".",".",".",".",".","0.8",".",".","."
"","337
002","122","3.230","45.9","16.4","11.5","9.8","8.2","6.6","1.6",".",".",".",".",".",".",".",".","."
"","337
003","76","2.572","10.5","19.7","21.1","13.2","19.7","10.5","5.3",".",".",".",".",".",".",".",".","."
"","337
004","84","2.655","20.2","2.4","25.0","16.7","26.2","7.1","2.4",".",".",".",".",".",".",".",".","."
"Human Anatomy","Course Total","405","2.970","30.4","15.8","17.3","12.8","14.6","6.4","2.5",".",".",".",".",".","0.2",".",".","."
"","338
001","24","3.563","58.3","29.2",".","8.3",".",".","4.2",".",".",".",".",".",".",".",".","."
"","338
002","22","3.523","59.1","18.2","4.5","13.6",".","4.5",".",".",".",".",".",".",".",".",".","."
"","003
338","24","3.229","37.5","25.0","8.3","12.5","12.5","4.2",".",".",".",".",".",".",".",".",".","."
"","338
004","21","3.143","38.1","28.6",".","9.5","14.3","9.5",".",".",".",".",".",".",".",".",".","."
"","338
005","26","2.962","23.1","34.6",".","11.5","23.1","7.7",".",".",".",".",".",".",".",".",".","."
"","338
006","23","3.152","26.1","30.4","13.0","17.4","8.7","4.3",".",".",".",".",".",".",".",".",".","."
"","338
007","25","3.200","40.0","20.0","12.0","12.0","8.0","8.0",".",".",".",".",".",".",".",".",".","."
"","338
008","22","3.386","31.8","27.3","31.8","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"Human Anatomy Laboratory","Course Total","187","3.265","39.0","26.7","8.6","11.2","9.1","4.8","0.5",".",".",".",".",".",".",".",".","."
"Independent Study","399
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
006","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
