"CIVIL SOC & COMMUNITY STUDI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"247
CSCS","","","","","","","","","","","","","","","","","","","",""
"125
Community and Social Change","001","","63","3.742","65.1","22.2","4.8","1.6",".",".","1.6","3.2",".",".",".",".","1.6",".",".","."
"254
CNPL Leadership Symposium","001","","47","3.913","95.7",".",".",".",".",".","2.1",".",".",".",".",".","2.1",".",".","."
"299
Independent Study","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"300
Nonprofit Sector: Overview","001","","83","3.852","75.9","16.9","3.6",".","1.2",".",".",".",".",".",".",".","2.4",".",".","."
"330
American Indian Communities","001","","27","3.558","70.4","11.1","7.4",".",".",".","7.4",".",".",".",".",".","3.7",".",".","."
"335
Communicating-Key Audiences","001","","42","3.762","69.0","16.7","11.9","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"400
Philanthropy & Civic Engagemnt","001","","34","3.956","94.1","2.9","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"460
Civil Soc & Commnty Leadership","001","","40","3.638","65.0","25.0","2.5","2.5",".","2.5","2.5",".",".",".",".",".",".",".",".","."
"501","001","","10","3.800","80.0",".","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"501","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","12","3.588","75.0",".","16.7",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"570
Community Based Resrch & Eval","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"601
Internship","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","004","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","061","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"742
Nonprofit Brd Leadrship Devp I","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"801
Civil Soc & Community Research","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","061","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"999","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","6","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
