"ASIAN LANG & CULTURE: LANG Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"186
ASIALANG","","","","","","","","","","","","","","","","","","","",""
"227
Third Semester Indonesian","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"229
Third Semester Thai","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"231","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"231","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Vietnamese","Course Total","","5","***","","","","","","","","","","","","","","","",""
"233
Third Semester Hindi","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"235
Third Semester Modern Tibetan","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"237
Third Semester Persian","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"239
Third Semester Urdu","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"241
Third Semester Sanskrit","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"301","001","","20","3.850","85.0","5.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"301","002","","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"301","003","","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fifth Semester Chinese","Course Total","","52","3.913","88.5","7.7","1.9","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"303","001","","12","3.667","41.7","50.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"303","002","","14","3.750","57.1","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"303","003","","14","3.679","50.0","35.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"5th Semester Japanese","Course Total","","40","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"305
Fifth Semester Korean","001","","16","3.875","87.5","6.3",".","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"325
Fifth Semester Hmong","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"329
Fifth Semester Thai","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"331","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"331","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fifth Semester Vietnamese","Course Total","","3","***","","","","","","","","","","","","","","","",""
"335
Fifth Semester Tibetan","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"337
Fifth Semester Persian","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"339
Fifth Semester Urdu","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"348
Fifth Semester Indonesian","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"355","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"355","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"355","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"355","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"355","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"355","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"355","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"355","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"355","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"355","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"355","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"355","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"355","024","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"January 05, 2022","","","","","","","","","","","","","","","","","","","Page 188 of 464",""
