"LIBRARY & INFORMATION STUDI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","",""
"The Information Society","201
001","115","3.864","79.1","13.9","5.2","0.9",".",".",".",".",".",".",".",".","0.9",".",".","."
"","202
001","283","3.807","83.0","6.4","6.7","1.1","0.7","0.7","1.1",".",".",".",".",".","0.4",".",".","."
"","202
002","25","3.520","64.0","12.0","12.0","4.0","4.0",".","4.0",".",".",".",".",".",".",".",".","."
"Divides&Differences-Multicultr","Course Total","308","3.783","81.5","6.8","7.1","1.3","1.0","0.6","1.3",".",".",".",".",".","0.3",".",".","."
"Information Literacies Online","301
001","19","3.526","68.4","5.3","15.8","5.3",".",".","5.3",".",".",".",".",".",".",".",".","."
"","341
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","341
002","22","3.975","86.4","4.5",".",".",".",".",".","4.5",".",".",".",".","4.5",".",".","."
"","341
004","10","3.850","90.0",".",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Tpcs in Info St-Tech Aspects","Course Total","33","3.935","87.9","3.0",".","3.0",".",".",".","3.0",".",".",".",".","3.0",".",".","."
"Intro to Digital Information","351
001","82","3.823","79.3","11.0","6.1","2.4","1.2",".",".",".",".",".",".",".",".",".",".","."
"","399
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading & Research","Course Total","3","***","","","","","","","","","","","","","","","",""
"","461
001","59","3.720","72.9","18.6","1.7","3.4",".","1.7","1.7",".",".",".",".",".",".",".",".","."
"","461
002","100","3.791","64.0","27.0","7.0",".",".",".",".",".",".",".",".",".","2.0",".",".","."
"Data Ethics and Policy","Course Total","159","3.759","67.3","23.9","5.0","1.3",".","0.6","0.6",".",".",".",".",".","1.3",".",".","."
"","500
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","500
002","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","500
003","14","3.893","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","500
004","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Code and Power","Course Total","34","3.912","88.2","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
002","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Text Mining","Course Total","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
001","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
002","26","3.846","96.2",".",".",".",".",".","3.8",".",".",".",".",".",".",".",".","."
"","601
003","20","3.900","85.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Info Perspectives, Contexts","Course Total","73","3.918","94.5","2.7","1.4",".",".",".","1.4",".",".",".",".",".",".",".",".","."
"","602
001","12","3.750","91.7",".",".",".",".","8.3",".",".",".",".",".",".",".",".",".","."
"","602
002","24","4.000","95.8",".",".",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"","602
003","29","4.000","93.1",".",".",".",".",".",".",".",".",".",".",".","6.9",".",".","."
"","602
004","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Info: Org and Search","Course Total","91","3.966","95.6",".",".",".",".","1.1",".",".",".",".",".",".","3.3",".",".","."
"Research and Assessment","603
001","20","3.825","85.0","5.0","5.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","611
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","611
002","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"User Experience Design 1","Course Total","18","4.000","94.4",".",".",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"","615
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","615
003","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","615
004","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","615
005","4","***","","","","","","","","","",".",".",".",".",".",".","."
