"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","",""
"","343
003","193","3.036","31.1","9.3","26.4","9.3","21.2","1.6","1.0",".",".",".",".",".",".",".",".","."
"","004
343","28","3.130","25.0","17.9","39.3",".","10.7",".","3.6",".",".",".",".",".",".",".","3.6","."
"","343
005","238","2.678","20.6","11.3","19.7","9.7","26.1","8.0","3.8",".",".",".",".",".","0.8",".",".","."
"","343
006","174","2.828","25.3","8.0","25.3","10.3","22.4","6.9","1.7",".",".",".",".",".",".",".",".","."
"Intro Organic Chemistry","Course Total","1105","2.869","23.9","12.9","22.7","10.7","22.4","5.0","1.9",".",".",".",".",".","0.2",".","0.3","."
"","344
001","15","3.200","20.0","26.7","33.3","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"","344
002","17","3.059","11.8","29.4","23.5","29.4","5.9",".",".",".",".",".",".",".",".",".",".","."
"","344
003","15","3.067","26.7","20.0","13.3","20.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"","344
004","14","3.143","28.6",".","50.0","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"","005
344","17","3.147","23.5","17.6","41.2","11.8",".","5.9",".",".",".",".",".",".",".",".",".","."
"","344
006","17","2.971","23.5","17.6","29.4","11.8","11.8",".","5.9",".",".",".",".",".",".",".",".","."
"","344
007","17","3.294","52.9",".","23.5","11.8","5.9","5.9",".",".",".",".",".",".",".",".",".","."
"","344
008","16","3.281","31.3","18.8","31.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"","344
009","15","3.200","20.0","20.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","344
010","16","3.156","18.8","18.8","43.8","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"","344
011","17","3.382","41.2","23.5","17.6","5.9","11.8",".",".",".",".",".",".",".",".",".",".","."
"","344
012","16","2.969","18.8","12.5","43.8","18.8",".",".","6.3",".",".",".",".",".",".",".",".","."
"","344
013","13","3.231","38.5","7.7","23.1","23.1","7.7",".",".",".",".",".",".",".",".",".",".","."
"","344
014","16","3.125","31.3","6.3","37.5","18.8",".","6.3",".",".",".",".",".",".",".",".",".","."
"","344
015","17","3.412","52.9","5.9","17.6","17.6","5.9",".",".",".",".",".",".",".",".",".",".","."
"","344
017","15","3.000","33.3","13.3","20.0","13.3","6.7","13.3",".",".",".",".",".",".",".",".",".","."
"","018
344","17","3.147","23.5","11.8","41.2","17.6","5.9",".",".",".",".",".",".",".",".",".",".","."
"","344
019","13","3.423","38.5","15.4","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","020
344","16","3.188","43.8","6.3","31.3","6.3","6.3",".","6.3",".",".",".",".",".",".",".",".","."
"","344
021","14","3.071","14.3","28.6","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"","344
022","16","3.094","18.8","12.5","50.0","6.3","12.5",".",".",".",".",".",".",".",".",".",".","."
"","344
023","15","2.933","20.0","26.7","26.7","13.3",".","6.7","6.7",".",".",".",".",".",".",".",".","."
"","344
027","15","2.867","33.3","6.7","26.7","20.0",".",".","13.3",".",".",".",".",".",".",".",".","."
"","344
028","15","2.967","13.3","20.0","46.7","13.3",".",".","6.7",".",".",".",".",".",".",".",".","."
"","344
029","11","3.227","27.3","9.1","45.5","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"","344
030","14","3.036","28.6","14.3","28.6","21.4",".",".","7.1",".",".",".",".",".",".",".",".","."
"","031
344","15","3.333","46.7",".","33.3","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"","344
032","15","3.033","26.7","26.7","6.7","33.3",".",".","6.7",".",".",".",".",".",".",".",".","."
"Intro Organic Chemistry Lab","Course Total","429","3.141","28.9","14.9","31.7","15.6","5.4","1.4","2.1",".",".",".",".",".",".",".",".","."
"","001
345","238","2.811","22.7","10.1","27.3","10.5","20.6","3.4","4.6",".",".",".",".",".","0.8",".",".","."
"","345
002","210","2.803","21.9","11.4","25.7","7.6","24.3","5.2","2.9",".",".",".",".",".","1.0",".",".","."
"Intmed Organic Chemistry","Course Total","448","2.807","22.3","10.7","26.6","9.2","22.3","4.2","3.8",".",".",".",".",".","0.9",".",".","."
"","346
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","346
002","28","3.232","25.0","21.4","32.1","17.9","3.6",".",".",".",".",".",".",".",".",".",".","."
"Intmed Organic Chem Lab","Course Total","30","3.224","23.3","20.0","36.7","16.7","3.3",".",".",".",".",".",".",".",".",".",".","."
"Intermed Topics in Chemistry","375
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Organic Chemistry","547
001","14","3.857","78.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
