"CHEMISTRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","",""
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","048","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","056","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","059","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","067","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","071","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","073","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","077","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","087","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","122","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","123","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","150","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","74","3.994","97.3","1.4",".",".",".",".",".",".",".",".",".",".",".",".","1.4","."
"704
Chemical Biology","001","","15","3.667","40.0","53.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"714
Organometal-Transitn Elemts","001","","24","3.583","45.8","25.0","29.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"721
Instrumental Analysis","001","","30","3.800","66.7","23.3","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"750
Biological Optical Microscopy","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"843
Advanced Organic Chemistry","001","","25","3.600","44.0","32.0","24.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"872
Topic-Macromoleculr/Biophys","001","","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"890
Chemistry-Biology Interface","001","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"901
Smr-Teaching of Chemistry","001","","83","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"918
Sngl Molec Apprchs to Biology","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"923
Genomic Sciences Program Semin","157","","11","4.000","27.3",".",".",".",".",".",".","72.7",".",".",".",".",".",".",".","."
"964","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"964","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"964","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"964","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"964","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"964","007","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 05, 2022","","","","","","","","","","","","","","","","","","","Page 202 of 464",""
