"ELECTRICAL AND COMPUTER E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","23","3.976","87.0","4.3",".",".",".",".",".",".",".",".",".",".","8.7",".",".","."
"Signals, Information & Comp","203
001","121","3.379","46.3","14.9","20.7","7.4","8.3","0.8","0.8",".",".",".",".",".","0.8",".",".","."
"","204
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","002
204","15","3.600","53.3","26.7","13.3",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Data Science & Engineering","Course Total","20","3.650","55.0","30.0","10.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","210
001","72","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
002","83","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Electrical Engr","Course Total","155","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","219
001","121","3.777","80.2","5.0","9.1","3.3","1.7","0.8",".",".",".",".",".",".",".",".",".","."
"","219
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Analytical Methods for EM Engr","Course Total","122","3.779","80.3","4.9","9.0","3.3","1.6","0.8",".",".",".",".",".",".",".",".",".","."
"Electrodynamics I","220
001","64","3.156","35.9","20.3","15.6","7.8","15.6","3.1","1.6",".",".",".",".",".",".",".",".","."
"Circuit Analysis","230
001","100","2.980","32.0","18.0","19.0","8.0","11.0","8.0","4.0",".",".",".",".",".",".",".",".","."
"","235
001","25","3.060","16.0","20.0","40.0","8.0","16.0",".",".",".",".",".",".",".",".",".",".","."
"","235
002","36","3.000","30.6","13.9","22.2","13.9","5.6","8.3","2.8",".",".",".",".",".","2.8",".",".","."
"Intro-Solid State Electronics","Course Total","61","3.025","24.6","16.4","29.5","11.5","9.8","4.9","1.6",".",".",".",".",".","1.6",".",".","."
"","252
001","129","3.406","47.3","24.0","7.0","10.1","8.5","1.6","0.8",".",".",".",".",".",".","0.8",".","."
"","252
006","27","3.037","40.7","11.1","18.5","3.7","14.8","7.4","3.7",".",".",".",".",".",".",".",".","."
"Intro to Computer Engineering","Course Total","156","3.342","46.2","21.8","9.0","9.0","9.6","2.6","1.3",".",".",".",".",".",".","0.6",".","."
"","270
001","47","3.564","44.7","27.7","23.4","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","270
002","42","3.702","61.9","26.2","4.8","4.8","2.4",".",".",".",".",".",".",".",".",".",".","."
"","270
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Circuits Laboratory I","Course Total","90","3.633","53.3","26.7","14.4","4.4","1.1",".",".",".",".",".",".",".",".",".",".","."
"","271
001","41","3.512","34.1","41.5","17.1","7.3",".",".",".",".",".",".",".",".",".",".",".","."
"","002
271","15","3.214","13.3","33.3","33.3","6.7","6.7",".",".",".",".",".",".",".","6.7",".",".","."
"Circuits Laboratory II","Course Total","56","3.436","28.6","39.3","21.4","7.1","1.8",".",".",".",".",".",".",".","1.8",".",".","."
"","001
303","16","3.906","87.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","303
002","17","3.706","58.8","23.5","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Real-Time DSP","Course Total","33","3.803","72.7","15.2","12.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
001","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
002","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Optoelectronics Lab","Course Total","21","3.905","85.7","9.5","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
001","35","3.814","82.9","8.6","5.7",".",".","2.9",".",".",".",".",".",".",".",".",".","."
"","315
002","27","3.870","85.2","7.4","3.7","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"","315
003","21","3.881","90.5","4.8",".",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"Intro Microprocessor Lab","Course Total","83","3.849","85.5","7.2","3.6","1.2","1.2","1.2",".",".",".",".",".",".",".",".",".","."
"","317
001","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","317
003","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sensors Laboratory","Course Total","33","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electrodynamics II","001
320","33","3.500","42.4","33.3","15.2",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Signals and Systems","330
001","64","3.352","45.3","17.2","14.1","12.5","9.4","1.6",".",".",".",".",".",".",".",".",".","."
"January 05, 2022","","","","","","","","","","","","","","","","","","Page 128 of 464",""
