"Intro-E Asian History:China","103
001","","17","3.412","47.1","29.4","11.8","5.9","",".","",".","5.9",".","",".","",".",".","",".","",".","",".",".","."
"Intro East Asian Civilizations","255
001","","14","4.000","100.0",".",".",".","",".","",".",".",".","",".","",".",".","",".","",".","",".",".","."
"Social Studies Topics in EAS","301
001","","3","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"E A STDS
298","Dept. Total","","34","3.664","73.5","14.7","5.9","2.9","",".","",".","2.9","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"298
E A STDS","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","7","3.920","85.7","14.3",".",".","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","","10","3.667","60.0","20.0","20.0",".","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","12","3.756","75.0","16.7",".","8.3","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","5","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Undergraduates","","","34","3.664","73.5","14.7","5.9","2.9","",".","",".","2.9","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","34","3.664","73.5","14.7","5.9","2.9","",".","",".","2.9","",".","",".",".","",".","",".","",".",".",".","."
