"AIR FORCE AEROSPACE STUDIE Section","#","","Ave","A","AB","B","BC","","C","","D","","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"102
A F AERO","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"101
001","","12","3.833","75.0","16.7","8.3",".","","",".","",".",".",".","",".","",".",".","",".","",".","",".",".","."
"101
002","","1","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"101
003","","11","3.545","72.7","18.2",".",".","","",".","",".","9.1",".","",".","",".",".","",".","",".","",".",".","."
"Course Total
Heritage and Values I","","24","3.696","70.8","16.7","4.2","",".","",".","",".","4.2","",".","",".",".","",".","",".","",".","4.2",".","."
"201
001","","4","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"201
002","","8","3.938","87.5","12.5",".",".","","",".","",".",".",".","",".","",".",".","",".","",".","",".",".","."
"Course Total
Team, Leadrshp Fundamentals I","","12","3.958","91.7","8.3",".","",".","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"301
001
Leadng People, Effectve Comm I","","17","4.000","100.0",".",".",".","","",".","",".",".",".","",".","",".",".","",".","",".","",".",".","."
"401
001
National Security Affairs","","17","4.000","100.0",".",".",".","","",".","",".",".",".","",".","",".",".","",".","",".","",".",".","."
"A F AERO
Dept. Total
102","","70","3.945","88.6","7.1","1.4","",".","",".","",".","1.4","",".","",".",".","",".","",".","",".","1.4",".","."
"Summary by Level","#","","Ave","A","AB","B","BC","","C","","D","","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"102
A F AERO","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","13","3.500","61.5","23.1","7.7","",".","",".","",".","7.7","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","7","3.929","85.7","14.3",".","",".","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","19","4.000","100.0",".",".","",".","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","25","3.992","92.0","4.0",".","",".","",".","",".",".","",".","",".",".","",".","",".","",".","4.0",".","."
"Undergraduates","","64","3.940","87.5","7.8","1.6","",".","",".","",".","1.6","",".","",".",".","",".","",".","",".","1.6",".","."
"Special","","4","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 3","","2","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Professionals","","2","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Dept. Total","","70","3.945","88.6","7.1","1.4","",".","",".","",".","1.4","",".","",".",".","",".","",".","",".","1.4",".","."
