"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"PHM SCI","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","1","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Junior","15","4.000","93.3",".",".",".",".",".","",".","6.7","",".",".","",".",".",".",".",".","."
"Senior","81","3.742","69.1","16.0","7.4","2.5","2.5",".","",".",".","",".",".","",".",".","2.5",".",".","."
"Undergraduates","97","3.775","73.2","13.4","6.2","2.1","2.1",".","",".","1.0","",".",".","",".",".","2.1",".",".","."
"Special","15","3.792","73.3","13.3","6.7",".",".",".","",".","6.7","",".",".","",".",".",".",".",".","."
"Graduate","249","3.762","33.7","12.4","3.6","0.4","0.4",".","",".","22.9","",".","25.3","",".","1.2",".",".",".","."
"Prof Yr 1","278","3.521","49.3","15.8","20.1","9.0","5.8",".","",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 2","293","3.597","56.0","18.4","18.1","4.8","2.4","0.3","",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 3","121","3.537","40.5","31.4","23.1","5.0",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Professionals","692","3.554","50.6","19.7","19.8","6.5","3.3","0.1","",".",".","",".",".","",".",".",".",".",".","."
