"Summary by Level","#","Ave","A","AB","B","","BC","","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"MEDICINE","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","***","","","","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Sophomore","5","***","","","","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Junior","33","3.967","78.8","6.1","",".","",".","",".","",".","",".",".","",".",".","",".",".","",".",".","15.2","."
"Senior","61","4.000","95.1",".","",".","",".","",".","",".","",".",".","",".",".","",".",".","",".",".","4.9","."
"Undergraduates","100","3.991","90.0","2.0","",".","",".","",".","",".","",".",".","",".",".","",".",".","",".",".","8.0","."
"Graduate","31","4.000","3.2",".","",".","",".","",".","",".","",".","64.5","",".",".","",".","12.9","",".",".","19.4","."
"Prof Yr 2","5","***","","","","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Prof Yr 3","5","***","","","","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Prof Yr 4","323","",".",".","",".","",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"Professionals","333","",".",".","",".","",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
