"L&S","","","","","","","","","","","","","","","","","","","","","","",""
"ENGLISH AS A SECOND LANGU","Section","#","Ave","A","AB","B","BC","C","D","","F","S","","U","","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"351
ESL","","","","","","","","","","","","","","","","","","","","","","",""
"ESL
351","Dept. Total","795","3.699","17.6","4.4","2.3","0.3","0.1","",".","0.6","",".","",".","71.2","3.0","",".","0.1","0.4",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","","U","","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"351
ESL","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","369","3.611","11.1","1.4","0.8","0.3","0.3","",".","0.8","",".","",".","80.2","5.1","",".",".",".",".","."
"Sophomore","","214","3.663","23.8","9.3","4.7",".",".","",".","0.9","",".","",".","57.5","2.3","",".",".","1.4",".","."
"Junior","","87","3.818","39.1","5.7","4.6","1.1",".","",".",".","",".","",".","48.3",".","",".","1.1",".",".","."
"Senior","","31","3.825","45.2","16.1","3.2",".",".","",".",".","",".","",".","35.5",".","",".",".",".",".","."
"Undergraduates","","701","3.699","20.0","5.0","2.6","0.3","0.1","",".","0.7","",".","",".","67.3","3.4","",".","0.1","0.4",".","."
"Special","","8","",".",".",".",".",".","",".",".","",".","",".","100.0",".","",".",".",".",".","."
"Graduate","","110","",".",".",".",".",".","",".",".","",".","",".","99.1","0.9","",".",".",".",".","."
"Prof Yr 4","","3","***","","","","","","","","","","","","","100.0",".","",".",".",".",".","."
"Professionals","","3","***","","","","","","","","","","","","","100.0",".","",".",".",".",".","."
"","Dept. Total","822","3.699","17.0","4.3","2.2","0.2","0.1","",".","0.6","",".","",".","72.0","3.0","",".","0.1","0.4",".","."
