"BIOMEDICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"207
B M E","","","","","","","","","","","","","","","","","","","",""
"517
Biology in Engineering Seminar","001","","45","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"550
Intro to Biolog & Med Microsys","001","","35","3.943","88.6","11.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"560
Biochemical Engineering","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"573
Med Img Sci:Math & Cncpt Fndtn","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"601","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"601","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics-Biomed Engr","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"602","001","","6","4.000","66.7",".",".",".",".",".",".",".",".",".",".",".","33.3",".",".","."
"602","003","","25","3.940","88.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics-Biomed Engr","Course Total","","31","3.952","83.9","9.7",".",".",".",".",".",".",".",".",".",".","6.5",".",".","."
"615
Tissue Mechanics","001","","32","3.406","25.0","40.6","25.0","9.4",".",".",".",".",".",".",".",".",".",".",".","."
"619
Microscopy of Life","001","","19","3.895","89.5",".","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"702
Grad Cooperative Educ Program","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"703
Rsp Cndct of Rsrch Biomed Engr","001","","16","3.656","50.0","31.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"710
Adv in Med Magnet Resonance","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"750
Biological Optical Microscopy","001","","9","3.938","77.8","11.1",".",".",".",".",".",".",".",".",".",".",".","11.1",".","."
"778
Machine Learning Ultrason Imag","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"780
Methods Quantitative Biology","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","093","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","101","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","118","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","141","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research & Thesis","Course Total","","12","",".",".",".",".",".",".",".","91.7",".",".",".","8.3",".",".",".","."
"799","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","110","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","118","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","119","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","141","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"890","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","034","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"January 05, 2022","","","","","","","","","","","","","","","","","","","Page 118 of 464",""
