"COMMUNITY & ENVIRONMENTA Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"864
C&E SOC","","","","","","","","","","","","","","","","","","","","",""
"Agroecology of Food and Ag","103","002","","22","3.318","50.0","18.2","9.1","9.1","4.5","9.1",".",".",".",".",".",".",".",".",".","."
"Intro-Community & Envir Soc","140","001","","29","3.638","72.4","13.8","3.4","3.4",".","6.9",".",".",".",".",".",".",".",".",".","."
"Survey of Sociology","210","001","","11","3.682","54.5","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Sociological Enterprise","211","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Envir, Nat Resources & Society","248","001","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Issues in Food Systems","340","001","","15","3.933","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Labor in Global Food Systems","341","001","","18","3.643","44.4","16.7","11.1","5.6",".",".",".",".",".",".",".",".","16.7",".","5.6","."
"Meth-Sociological Inquiry","357","001","","17","3.882","88.2","5.9",".","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Stats for Sociologists I","360","001","","9","3.563","44.4","11.1","33.3",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Stats for Sociologists II","361","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","399","097","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","475","002","","6","2.833",".",".","33.3","16.7",".",".",".",".",".",".",".",".","33.3","16.7",".","."
"","475","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","475","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Classical Soc Theory","","Course Total","","11","3.250","18.2","9.1","36.4","9.1",".",".",".",".",".",".",".",".","18.2","9.1",".","."
"Capstone Experience","500","001","","10","3.444","40.0","20.0","20.0",".","10.0",".",".",".",".",".",".",".","10.0",".",".","."
"Hlth Care Iss:Ind, Fam, Soc","532","001","","8","3.063","62.5","12.5",".",".",".","12.5","12.5",".",".",".",".",".",".",".",".","."
"Public Hlth-Rural & Urban Comm","533","001","","10","3.800","90.0",".",".",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Ethics of Modern Biotechnology","565","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Soc:Devlp Societies/3rd Wld","630","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","990","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","089","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Rsch: Methodology Trainees","995","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch-Demogrphy&Ecol Trainee","997","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","071","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","076","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading and Research","","Course Total","","4","***","","","","","","","","","","","","","","","",""
