"ASIAN AMERICAN STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"184
ASIAN AM","","","","","","","","","","","","","","","","","","",""
"Asian American Movement","121
001","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lit & Culture of Asian America","150
001","127","3.698","56.7","30.7","5.5",".","0.8",".","1.6",".",".",".",".",".","4.7",".",".","."
"AsianAm Lit & Pop Culture","152
001","137","3.686","63.5","23.4","8.0","2.9","0.7",".","1.5",".",".",".",".",".",".",".",".","."
"Hmong American Experiences","170
001","16","3.281","50.0","18.8","6.3","12.5","6.3",".","6.3",".",".",".",".",".",".",".",".","."
"Ethnic Movements in U.S.","220
001","19","3.026","47.4","21.1",".","5.3","10.5","5.3","10.5",".",".",".",".",".",".",".",".","."
"","240
001","35","3.671","74.3","8.6","11.4",".","2.9",".","2.9",".",".",".",".",".",".",".",".","."
"","240
002","24","3.688","58.3","37.5",".",".",".","4.2",".",".",".",".",".",".",".",".",".","."
"","240
003","32","3.190","31.3","18.8","21.9","3.1","12.5",".","3.1",".",".",".",".",".","6.3","3.1",".","."
"","240
004","35","3.886","77.1","22.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
240","34","3.471","38.2","20.6","38.2","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"","240
006","48","3.635","50.0","39.6","2.1","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"","240
007","47","3.457","46.8","31.9","10.6",".","6.4","2.1","2.1",".",".",".",".",".",".",".",".","."
"Topics-Asian Amer Studies","Course Total","255","3.573","53.3","26.3","11.8","1.6","3.9","0.8","1.2",".",".",".",".",".","0.8","0.4",".","."
"Asian Americans and Media","420
001","12","3.083","41.7","33.3",".",".","8.3","8.3","8.3",".",".",".",".",".",".",".",".","."
"Asian American Poetry","465
001","19","3.647","26.3","63.2",".",".",".",".",".",".",".",".",".",".","10.5",".",".","."
"Humanities Topics","560
001","7","3.500","71.4","14.3",".",".",".","14.3",".",".",".",".",".",".",".",".",".","."
"ASIAN AM
184","Dept. Total","602","3.590","55.5","27.4","8.1","1.8","2.7","0.8","1.8",".",".",".",".",".","1.7","0.2",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"184
ASIAN AM","","","","","","","","","","","","","","","","","","",""
"Freshmen","","52","3.445","48.1","28.8","11.5",".","3.8","3.8","1.9",".",".",".",".",".","1.9",".",".","."
"Sophomore","","196","3.578","53.6","29.1","9.2","0.5","1.5",".","3.1",".",".",".",".",".","2.6","0.5",".","."
"Junior","","180","3.619","55.6","28.3","8.3","1.7","3.3","1.1","0.6",".",".",".",".",".","1.1",".",".","."
"Senior","","174","3.614","59.8","24.1","5.7","4.0","2.9","0.6","1.7",".",".",".",".",".","1.1",".",".","."
"Undergraduates","","602","3.590","55.5","27.4","8.1","1.8","2.7","0.8","1.8",".",".",".",".",".","1.7","0.2",".","."
"","Dept. Total","602","3.590","55.5","27.4","8.1","1.8","2.7","0.8","1.8",".",".",".",".",".","1.7","0.2",".","."
