"LINGUISTICS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"550
LINGUIS","","","","","","","","","","","","","","","","","","","",""
"Human Language","101","001","332","3.217","30.1","26.2","15.7","13.3","7.5","2.7","0.9","0.6",".",".",".",".","3.0",".",".","."
"Intro Ling-Descript&Theoret","301","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Language, History, and Society","303","001","26","3.942","88.5","11.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phonology","310","001","33","3.625","69.7","12.1","6.1",".","6.1",".","3.0",".",".",".",".",".","3.0",".",".","."
"Syntax","330","001","35","3.357","40.0","17.1","28.6","8.6","2.9","2.9",".",".",".",".",".",".",".",".",".","."
"Topics in Linguistics","373","001","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Junior Honors Tutorial","481","038","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Morphology","522","001","19","3.556","63.2","10.5","5.3","10.5",".","5.3",".",".",".",".",".",".","5.3",".",".","."
"Research Methods&Materials","800","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar","977","100","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","990","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","022","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","038","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","","Course Total","4","***","","","","","","","","","","","","","","","",""
