"CLASSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"244
CLASSICS","","","","","","","","","","","","","","","","","","",""
"The Ancient Mediterranean","110
001","50","3.265","12.0","46.0","26.0","10.0","4.0",".",".",".",".",".",".",".","2.0",".",".","."
"Ancient Monsters","150
001","91","3.533","44.0","31.9","16.5","3.3","2.2",".","1.1",".",".",".",".",".",".","1.1",".","."
"Classical Infl Western Art Sci","206
001","22","3.795","59.1","40.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Art&Archaeology-Ancient Greece","300
001","21","3.143","42.9","23.8","9.5","4.8","4.8","9.5","4.8",".",".",".",".",".",".",".",".","."
"Sex and Violence in the ANE","308
001","20","3.056","10.0","50.0","15.0",".","5.0","5.0","5.0",".",".",".",".",".","5.0",".","5.0","."
"The Greeks","320
001","153","3.682","68.6","15.0","6.5","3.3","3.9","0.7","0.7","0.7",".",".",".",".","0.7",".",".","."
"The Egyptians","321
001","62","3.643","59.7","12.9","9.7","3.2","3.2","1.6",".",".",".",".",".",".",".",".","9.7","."
"Women in the Classical World","351
001","42","3.829","69.0","14.3","4.8","2.4",".",".",".","2.4",".",".",".",".",".",".","7.1","."
"Topics in Greek Culture","001
371","28","3.978","78.6","3.6",".",".",".",".",".",".",".",".",".",".","14.3","3.6",".","."
"Topics in Classical Culture","373
001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Thesis","691
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
014","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Reading","Course Total","5","***","","","","","","","","","","","","","","","",""
"Art&Archaeolog-Ancient Greece","700
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Classical Literature & Culture","970
001","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"CLASSICS
244","Dept. Total","527","3.604","56.5","21.8","9.7","3.2","2.7","0.9","0.8","0.4",".",".",".","0.2","1.3","0.4","2.1","."
