"HORTICULTURE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"476
HORT","","","","","","","","","","","","","","","","","","","",""
"120
Survey of Horticulture","001","","72","3.571","69.4","5.6","9.7","2.8","5.6","2.8","1.4",".",".",".",".",".",".","2.8",".","."
"121
Horticulture Colloquium","001","","25","3.604","72.0","4.0","12.0",".","4.0",".","4.0",".",".",".",".",".",".","4.0",".","."
"234
Ornamental Plants","001","","14","3.458","42.9","7.1","28.6",".","7.1",".",".","7.1",".",".",".",".",".","7.1",".","."
"261
Sustainable Turf Management","001","","13","3.273","38.5","23.1","7.7","7.7",".",".","7.7",".",".",".",".",".",".",".","15.4","."
"263
Landscape Plants I","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"320
Environment of Hort Plants","001","","14","3.750","57.1","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"340
Plant Cell Cult. & Genet. Eng.","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"350
Plants and Human Wellbeing","001","","77","3.372","27.3","53.2","5.2","2.6","2.6","1.3","3.9","2.6",".",".",".",".",".",".","1.3","."
"351
Plants&Human Wellbeing Compan","001","","19","3.026","47.4","10.5","21.1","5.3",".",".","15.8",".",".",".",".",".",".",".",".","."
"370
World Vegetable Crops","001","","16","3.250","37.5","18.8","18.8","6.3","18.8",".",".",".",".",".",".",".",".",".",".","."
"376
Tropical Horticultural Systems","001","","27","3.926","85.2","14.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"571","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"571","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Stat Meth for Bioscience I","Course Total","","4","***","","","","","","","","","","","","","","","",""
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"811
Biometric Proc-Plnt Breedng","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"957
Seminar-Plant Breeding","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 05, 2022","","","","","","","","","","","","","","","","","","","","Page 28 of 464"
