"GEOGRAPHY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","",""
"Intro to Human Geography","101","001","169","3.636","72.8","11.8","6.5","1.8","3.0","1.2","3.0",".",".",".",".",".",".",".",".","."
"Intro Earth System","120","001","108","3.092","17.6","15.7","36.1","8.3","13.0",".",".","9.3",".",".",".",".",".",".",".","."
"Physical Systems of Envr","127","001","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Environmental Issues","139","001","66","3.381","42.4","21.2","18.2","3.0","7.6","1.5","1.5",".",".",".",".",".",".",".","4.5","."
"Digital Globe:GIScience & Tech","170","001","235","3.338","39.1","26.0","12.3","4.7","10.6","2.1","0.9","0.4",".",".",".",".",".",".","3.8","."
"SE Asia:Vietnam to Philipns","244","001","11","3.850","81.8",".",".","9.1",".",".",".",".",".",".",".",".","9.1",".",".","."
"Africa: Introductory Survey","277","001","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to the City","305","001","77","3.618","58.4","22.1","9.1","6.5","1.3",".","1.3",".",".",".",".",".","1.3",".",".","."
"Introduction to Geopolitics","318","001","34","3.750","64.7","8.8","11.8",".","2.9",".",".","5.9",".",".",".",".","5.9",".",".","."
"Past Climatic Environments","335","001","12","3.222","16.7","16.7","33.3",".","8.3",".",".","8.3",".",".",".",".",".",".","16.7","."
"Nature, Power and Society","337","001","18","3.182","11.1","22.2","11.1","11.1","5.6",".",".",".",".",".",".",".","5.6",".","33.3","."
"Environmental Biogeography","338","001","37","3.986","91.9","2.7",".",".",".",".",".",".",".",".",".",".","2.7",".","2.7","."
"Environmental Conservation","339","001","35","3.103","22.9","17.1","37.1","8.6","8.6",".","2.9",".",".",".",".",".","2.9",".",".","."
"World Regions in Global Contxt","340","001","199","3.713","60.3","11.1","5.5","1.5","1.0",".","2.0","10.6",".",".",".",".","2.0","6.0",".","."
"Native North Amer Nat Res Mgmt","345","001","7","3.900","57.1","14.3",".",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"","370","001","35","3.643","71.4","20.0","2.9",".",".",".","5.7",".",".",".",".",".",".",".",".","."
"","370","070","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Cartography","","Course Total","46","3.728","78.3","15.2","2.2",".",".",".","4.3",".",".",".",".",".",".",".",".","."
"","377","001","52","3.452","51.9","17.3","15.4","3.8","9.6","1.9",".",".",".",".",".",".",".",".",".","."
"","377","070","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","","Course Total","61","3.533","59.0","14.8","13.1","3.3","8.2","1.6",".",".",".",".",".",".",".",".",".","."
"","378","001","33","3.656","48.5","33.3","12.1","3.0",".",".",".",".",".",".",".",".","3.0",".",".","."
"","378","070","20","3.600","70.0","10.0","15.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"Introduction to Geocomputing","","Course Total","53","3.635","56.6","24.5","13.2","1.9",".",".","1.9",".",".",".",".",".","1.9",".",".","."
"US Envir Policy & Regulation","439","001","13","3.654","61.5","15.4","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Amer Environmental History","460","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Geography","475","001","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Qualitative Strategies","500","001","11","3.938","63.6","9.1",".",".",".",".",".",".",".",".",".",".","27.3",".",".","."
"Feminist Geography Theory","504","001","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Apps of GIS in Planning","532","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Quantitative Methods","560","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Colloq-Undergraduate Majors","565","001","35","3.871","85.7","2.9","11.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","572","001","16","3.688","81.3",".","6.3",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","572","070","12","3.792","66.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graphic Design-Cartography","","Course Total","28","3.732","75.0","10.7","7.1",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","574","001","22","3.750","68.2","18.2","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","574","070","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Spatial Database","","Course Total","29","3.804","72.4","13.8","6.9","3.4",".",".",".",".",".",".",".",".","3.4",".",".","."
"Interactive Cart & Geovis","575","070","7","3.429","85.7",".",".",".",".",".","14.3",".",".",".",".",".",".",".",".","."
