"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"M M & I","","","","","","","","","","","","","","","","","","","",""
"Sophomore","4","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Junior","23","3.009","47.8","4.3","13.0","13.0","8.7","13.0",".",".","",".",".","",".",".",".",".",".","."
"Senior","143","3.293","49.7","14.0","16.8","4.9","10.5","2.1","2.1",".","",".",".","",".",".",".",".",".","."
"Undergraduates","170","3.251","48.2","13.5","16.5","5.9","10.6","3.5","1.8",".","",".",".","",".",".",".",".",".","."
"Special","5","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Graduate","76","3.700","40.8","3.9","10.5",".",".",".",".","2.6","",".",".","",".","40.8","1.3",".",".","."
"Prof Yr 1","67","3.677","59.7","22.4","17.9",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 3","5","***","","","","","","","","","","",".","",".","60.0",".",".",".","."
"Prof Yr 4","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","73","3.688","58.9","20.5","16.4",".",".",".",".",".","",".",".","",".","4.1",".",".",".","."
