"ENGLISH AS A SECOND LANGU","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"351
ESL","","","","","","","","","","","","","","","","","","",""
"","115
001","15","",".",".",".",".",".",".",".",".",".","86.7","13.3",".",".",".",".","."
"","115
003","16","",".",".",".",".",".",".",".",".",".","87.5","12.5",".",".",".",".","."
"","115
004","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"Grammar for Academic Use","Course Total","47","",".",".",".",".",".",".",".",".",".","89.4","10.6",".",".",".",".","."
"","116
001","17","",".",".",".",".",".",".",".",".",".","94.1","5.9",".",".",".",".","."
"","116
002","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","116
003","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"","116
004","15","",".",".",".",".",".",".",".",".",".","93.3",".",".",".","6.7",".","."
"","116
005","16","",".",".",".",".",".",".",".",".",".","87.5","6.3",".",".","6.3",".","."
"","116
006","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","116
008","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","116
009","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"","116
010","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","116
012","14","",".",".",".",".",".",".",".",".",".","78.6","21.4",".",".",".",".","."
"","116
013","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"","116
014","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","116
015","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","116
016","16","",".",".",".",".",".",".",".",".",".","87.5","12.5",".",".",".",".","."
"Acad Reading and Vocab Skills","Course Total","220","",".",".",".",".",".",".",".",".",".","94.5","4.5",".",".","0.9",".","."
"","117
001","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
002","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
003","15","",".",".",".",".",".",".",".",".",".","93.3","6.7",".",".",".",".","."
"","117
004","15","",".",".",".",".",".",".",".",".",".","80.0","20.0",".",".",".",".","."
"","117
006","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
007","13","",".",".",".",".",".",".",".",".",".","92.3","7.7",".",".",".",".","."
"","117
008","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
009","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
010","15","",".",".",".",".",".",".",".",".",".","93.3","6.7",".",".",".",".","."
"","117
011","15","",".",".",".",".",".",".",".",".",".","93.3","6.7",".",".",".",".","."
"","117
013","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
014","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
015","14","",".",".",".",".",".",".",".",".",".","92.9","7.1",".",".",".",".","."
"","117
016","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
017","15","",".",".",".",".",".",".",".",".",".","86.7","6.7",".",".","6.7",".","."
"","117
019","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Academic Writing I","Course Total","231","",".",".",".",".",".",".",".",".",".","95.7","3.9",".",".","0.4",".","."
"","118
001","10","3.500","70.0","20.0",".",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"","118
003","13","3.731","53.8","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
118","14","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
006","14","3.857","78.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
007","13","3.654","53.8","30.8","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","118
008","14","3.607","78.6","7.1","7.1",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"","118
009","13","3.577","46.2","23.1","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 05, 2022","","","","","","","","","","","","","","","","","","Page 234 of 464",""
