"SOCIOLOGY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","","",""
"Crime, Gender and Justice","425","001","","11","3.500","45.5","27.3","18.2",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Ethnicity, Race, and Justice","440","001","","20","3.500","55.0","10.0","15.0","5.0","10.0",".",".",".",".",".",".",".",".",".","5.0","."
"Criminology","441","001","","86","3.506","44.2","24.4","22.1","7.0","2.3",".",".",".",".",".",".",".",".",".",".","."
"Juvenile Delinquency","446","001","","45","3.159","31.1","33.3","13.3","6.7","4.4","2.2","6.7",".",".",".",".",".","2.2",".",".","."
"","475","002","","24","3.265","20.8","20.8","8.3","16.7","4.2",".",".",".",".",".",".",".","29.2",".",".","."
"","475","003","","15","3.250","26.7","26.7","20.0","6.7","13.3",".",".",".",".",".",".",".",".","6.7",".","."
"","475","005","","11","3.000","45.5","18.2",".","18.2",".","9.1","9.1",".",".",".",".",".",".",".",".","."
"Classical Soc Theory","","Course Total","","50","3.190","28.0","22.0","10.0","14.0","6.0","2.0","2.0",".",".",".",".",".","14.0","2.0",".","."
"","496","001","","10","3.667","30.0","60.0",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"","496","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","496","009","","22","3.614","50.0","31.8","13.6",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","496","011","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Sociology","","Course Total","","41","3.662","51.2","31.7","9.8",".","2.4",".",".",".",".",".",".",".","4.9",".",".","."
"Hlth Care Iss:Ind, Fam, Soc","532","001","","26","3.673","65.4","26.9","3.8",".",".",".","3.8",".",".",".",".",".",".",".",".","."
"Public Hlth-Rural & Urban Comm","533","001","","25","3.920","92.0",".","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Political Sociology","624","001","","8","3.929","75.0","12.5",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Social Movements","626","001","","16","3.250","37.5","6.3","18.8","6.3",".",".","6.3",".",".",".",".",".","18.8","6.3",".","."
"Soc:Devlp Societies/3rd Wld","630","001","","22","3.341","31.8","22.7","31.8","9.1","4.5",".",".",".",".",".",".",".",".",".",".","."
"Sociology of Organizations","632","001","","12","3.818","58.3","33.3",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Social Stratification","633","001","","28","3.327","21.4","32.1","32.1",".","7.1",".",".",".",".",".",".",".","7.1",".",".","."
"Sociology of Law","641","001","","14","3.538","42.9","21.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".","7.1","."
"Senior Honors Thesis","681","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Crimnl Justice Fld Observtn","694","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","084","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Intro Prosmr-Grad Students","700","001","","19","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Intmed Soc Psych-Indiv&Scty","730","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research Methods-Sociology","750","001","","14","3.846","64.3","28.6",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Measurement&Questionnaires","752","001","","23","3.913","87.0","8.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cmpartv&Hist Methods-Sociol","753","001","","8","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Demographic Techniques II","756","001","","14","4.000","92.9",".",".",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Introduction to Epidemiology","797","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Interdis W Europ Studies Sm","804","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","875","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","875","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","875","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","875","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
