"INDUSTRIAL & SYSTEMS ENGR","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"490
I SY E","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","14","3.821","85.7","7.1",".",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Intro to Industrial Statistics","210","001","105","3.548","42.9","35.2","10.5","8.6","1.9",".",".",".",".",".",".",".","1.0",".",".","."
"Data Mgmt & Analys for Ind Eng","312","001","46","3.641","58.7","17.4","19.6","2.2","2.2",".",".",".",".",".",".",".",".",".",".","."
"Engineerng Economc Analysis","313","001","92","3.923","93.5","2.2","2.2",".",".",".","1.1",".",".",".",".",".",".",".",".","1.1"
"Production Planning&Control","315","001","58","3.647","51.7","32.8","8.6","6.9",".",".",".",".",".",".",".",".",".",".",".","."
"Simulatn&Probablstc Modelng","320","001","39","3.321","33.3","35.9","10.3","7.7","10.3","2.6",".",".",".",".",".",".",".",".",".","."
"","321","001","17","3.382","35.3","35.3","11.8","5.9","11.8",".",".",".",".",".",".",".",".",".",".","."
"","321","002","16","3.156","25.0","37.5","12.5","6.3","12.5","6.3",".",".",".",".",".",".",".",".",".","."
"","321","003","6","3.583","50.0","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Simulation Modeling Lab","","Course Total","39","3.321","33.3","35.9","10.3","7.7","10.3","2.6",".",".",".",".",".",".",".",".",".","."
"Oper Rsch-Determnstc Modelg","323","001","54","3.065","27.8","14.8","31.5","9.3","11.1","3.7","1.9",".",".",".",".",".",".",".",".","."
"","348","002","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","348","003","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","348","004","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Factors Engineering Lab","","Course Total","41","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction-Human Factors","349","001","63","3.865","81.0","12.7","4.8","1.6",".",".",".",".",".",".",".",".",".",".",".","."
"Industrial Engr Design I","350","001","63","3.992","98.4","1.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Industrial Data Analytics","412","001","47","3.787","80.9","4.3","10.6",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"Intro-Manufac Sys,Dsgn&Anal","415","001","30","3.383","16.7","63.3","16.7",".",".",".","3.3",".",".",".",".",".",".",".",".","."
"Health Systems Engineering","417","001","28","3.518","25.0","53.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Combinatrl Optimizatn","425","001","12","3.125","25.0","16.7","25.0","25.0","8.3",".",".",".",".",".",".",".",".",".",".","."
"Industrial Engr Design II","450","001","49","3.827","69.4","26.5","4.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Facilities Planning","510","001","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Inspectn,Qual Cntrl&Relblty","512","001","44","3.767","68.2","18.2","9.1",".","2.3",".",".",".",".",".",".",".","2.3",".",".","."
"Engr Mgt-Cont Proc Imprvmnt","515","001","38","3.934","89.5","7.9","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Decision Analysis","516","001","26","3.442","53.8","15.4","15.4","11.5",".",".","3.8",".",".",".",".",".",".",".",".","."
"Decision Making in Health Care","517","001","23","3.773","60.9","26.1","8.7",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"Wearable Technology","518","001","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Quality Assurance Systems","520","001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"ML in Action for IEs","521","001","32","3.344","25.0","37.5","34.4",".",".",".","3.1",".",".",".",".",".",".",".",".","."
"Introduction to Optimization","524","001","10","3.250","40.0","10.0","20.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Linear Optimization","525","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","549","001","44","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","549","002","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Factors Engineering","","Course Total","74","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Perform&Accidnt Cause","555","001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","557","001","33","3.970","93.9","6.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","557","002","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"HFE for Healthcare","","Course Total","50","3.960","92.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
