"","MATERIALS SCI AND ENGINEERI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"636
M S & E","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Materials Experience","260","001","","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","299","008","","33","4.000","93.9",".",".",".",".",".",".",".",".",".",".",".","6.1",".",".","."
"Thermodynamics of Materials","330","001","","42","2.940","21.4","14.3","23.8","26.2","7.1","7.1",".",".",".",".",".",".",".",".",".","."
"Macroprocessing-Materials","332","001","","32","3.391","34.4","25.0","31.3","3.1","6.3",".",".",".",".",".",".",".",".",".",".","."
"","350","001","","110","3.686","51.8","37.3","7.3","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"","350","002","","91","3.728","58.2","29.7","9.9",".","1.1",".",".",".",".",".",".",".","1.1",".",".","."
"Intro to Materials Science","","Course Total","","201","3.705","54.7","33.8","8.5","2.0","0.5",".",".",".",".",".",".",".","0.5",".",".","."
"Struct&Property Rels-Solids","351","001","","42","3.119","19.0","19.0","35.7","19.0","7.1",".",".",".",".",".",".",".",".",".",".","."
"","360","001","","9","3.333","33.3",".","66.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360","002","","14","3.536","42.9","28.6","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","360","003","","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360","004","","9","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Materials Laboratory I","","Course Total","","40","3.525","42.5","22.5","32.5","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"","362","001","","8","3.125","25.0","25.0","12.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".","."
"","362","002","","15","3.400","33.3","40.0","13.3",".","13.3",".",".",".",".",".",".",".",".",".",".","."
"Materials Laboratory III","","Course Total","","23","3.304","30.4","34.8","13.0","8.7","13.0",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Mat Sci&Engr","401","001","","8","3.500","37.5","25.0","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nuclear Engr Materials","423","001","","12","3.000","8.3","33.3","41.7",".","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"Principles of Corrosion","433","001","","20","3.550","40.0","30.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Crystallog & Xray Diffractn","448","001","","32","3.844","68.8","31.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Ceramic Materials","451","001","","26","3.365","30.8","26.9","30.8","7.7","3.8",".",".",".",".",".",".",".",".",".",".","."
"Elec,Opt&Mag Prop of Materials","456","001","","67","3.318","35.8","16.4","26.9","13.4","6.0",".",".",".",".",".",".",".","1.5",".",".","."
"Advanced Metal Casting","461","001","","14","3.679","85.7","7.1",".",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"Fundamentals-Heat Treatment","465","001","","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone Project I","470","001","","38","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Polymeric Materials","521","001","","16","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thermodynamics of Solids","530","001","","28","3.964","96.4",".","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","024","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","10","3.900","60.0","20.0",".",".",".",".",".","10.0",".",".",".",".","10.0",".",".","."
"Structural Analysis-Materials","748","001","","6","3.417","33.3","33.3","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Electronic Materials","756","001","","14","3.615","42.9","28.6","21.4",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Trans Electron Microscopy Lab","758","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Mol Dynamics&Monte Carlo Sims","760","001","","14","3.893","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 05, 2022","","","","","","","","","","","","","","","","","","","","Page 153 of 464",""
