"LIFE SCIENCES COMMUNICATIO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"120
LSC","","","","","","","","","","","","","","","","","","",""
"","100
001","16","3.531","75.0","6.3","6.3",".","6.3",".","6.3",".",".",".",".",".",".",".",".","."
"","100
002","15","3.867","80.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
003","14","3.786","78.6","7.1","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","004
100","16","3.781","62.5","31.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
100","16","3.281","43.8","31.3","6.3",".","6.3","12.5",".",".",".",".",".",".",".",".",".","."
"","100
006","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
100","16","3.719","81.3","6.3","6.3",".",".","6.3",".",".",".",".",".",".",".",".",".","."
"","100
008","16","3.594","68.8",".","18.8","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"","100
010","16","3.867","81.3","6.3",".","6.3",".",".",".",".",".",".",".",".",".",".",".","6.3"
"","100
011","14","2.821","35.7","28.6",".","7.1","7.1","7.1","14.3",".",".",".",".",".",".",".",".","."
"","012
100","16","3.094","31.3","43.8","6.3",".","6.3",".","12.5",".",".",".",".",".",".",".",".","."
"","100
013","16","3.469","43.8","31.3","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","100
014","16","3.906","93.8",".",".","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","015
100","15","3.167","40.0","33.3","13.3",".",".",".","13.3",".",".",".",".",".",".",".",".","."
"","100
016","14","3.464","57.1","14.3",".","21.4","7.1",".",".",".",".",".",".",".",".",".",".","."
"","100
017","13","3.692","76.9",".","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Science and Storytelling","Course Total","242","3.560","64.9","16.5","6.6","3.3","3.7","1.7","2.9",".",".",".",".",".",".",".",".","0.4"
"Sci Comm First-Year Seminar","155
001","18","3.361","72.2",".",".","5.6","16.7",".","5.6",".",".",".",".",".",".",".",".","."
"","212
001","20","3.600","70.0","10.0","15.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"","212
002","20","3.700","70.0","10.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Scientific Communication","Course Total","40","3.650","70.0","10.0","12.5","5.0",".",".","2.5",".",".",".",".",".",".",".",".","."
"Science, Media and Society","251
001","264","3.202","27.3","27.7","17.4","19.3","2.3","1.9","1.9",".",".",".",".",".",".",".","0.4","1.9"
"Marketing Comm for Sciences","270
001","78","3.679","61.5","23.1","11.5",".","2.6","1.3",".",".",".",".",".",".",".",".",".","."
"Honors Independent Study","289
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Digital Video Prod","314
001","23","3.435","39.1","26.1","21.7","8.7","4.3",".",".",".",".",".",".",".",".",".",".","."
"Print&Electronic Media Dsgn","332
001","26","3.981","96.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Visualizing Sci & Technology","350
001","75","3.687","69.3","16.0","6.7","4.0","2.7",".","1.3",".",".",".",".",".",".",".",".","."
"Information Radio","360
001","14","3.750","57.1","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Comm Science with Narrative","430
001","15","3.679","80.0",".",".","6.7",".","6.7",".",".",".",".",".",".","6.7",".",".","."
"Social Media for Life Sciences","432
001","70","3.700","72.9","12.9","7.1","1.4","4.3",".","1.4",".",".",".",".",".",".",".",".","."
"Photography for the Sciences","450
001","30","3.567","50.0","26.7","16.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Web Design for the Sciences","532
001","22","3.818","81.8","9.1",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Scientific Writing","560
001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Video Production","614
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Hlth Communication-Info Age","617
001","14","3.857","78.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Risk Communication","625
001","30","3.567","46.7","26.7","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Case Studies-Com of Sci & Tech","640
001","16","3.500","62.5","6.3","12.5","6.3","12.5",".",".",".",".",".",".",".",".",".",".","."
"Special Problems","699
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Communication Thry&Rsch","720
001","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","875
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
