"MECHANICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","",""
"491","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","057","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"491","066","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"491","081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Mech Engr Projects I","Course Total","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"492","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"492","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"492","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Mech Engr Projects II","Course Total","","4","***","","","","","","","","","","","","","","","",""
"510
Facilities Planning","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"512
Inspectn,Qual Cntrl&Relblty","001","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"529
Smart Manufacturing","003","","20","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"532","001","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"532","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"532","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Mtrx Mthds in Machine Learning","Course Total","","15","3.433","40.0","20.0","26.7","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"535
Comp-Aided Geometric Design","001","","32","3.547","37.5","34.4","28.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"539
Intro-Artificl Neural Ntwrks","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"549
Product Design","001","","42","3.810","69.0","23.8","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"561
Intermediate Thermodynamics","001","","27","3.685","59.3","18.5","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"565
Power Plant Technology","001","","17","3.794","82.4",".","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"567
Solar Energy Technology","001","","23","3.609","52.2","30.4","8.7","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"569
Applied Combustion","001","","8","3.250","12.5","50.0","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"573
Computational Fluid Dynamics","001","","32","3.532","56.3","3.1","31.3",".","6.3",".",".",".",".",".",".",".","3.1",".",".","."
"601","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"601","051","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"601","059","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"601","066","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"601","068","","9","3.611","33.3","55.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"601","077","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"601","078","","14","3.583","71.4",".","7.1",".",".",".","7.1",".","7.1",".",".",".",".",".","7.1","."
"Special Topics-Mech Engr","Course Total","","49","3.770","73.5","14.3","6.1",".",".",".","2.0",".","2.0",".",".",".",".",".","2.0","."
"615
Tissue Mechanics","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","090","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","6","3.906","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"702
Grad Cooperative Educ Program","001","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"January 05, 2022","","","","","","","","","","","","","","","","","","","Page 149 of 464",""
