"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"PL PATH","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","5","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","","27","3.843","77.8","14.8","7.4",".",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Junior","","115","3.758","72.2","15.7","8.7","0.9","0.9","0.9","",".",".","",".",".","",".",".","0.9",".",".","."
"Senior","","125","3.655","64.8","16.8","8.8","5.6",".","1.6","",".","0.8","",".",".","",".",".","1.6",".",".","."
"Undergraduates","","272","3.716","69.5","15.8","8.8","2.9","0.4","1.1","",".","0.4","",".",".","",".",".","1.1",".",".","."
"Special","","1","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Graduate","","77","3.838","36.4","3.9","2.6",".",".",".","",".","26.0","",".",".","",".","31.2",".",".",".","."
"","Dept. Total","350","3.726","62.0","13.1","7.4","2.3","0.3","0.9","",".","6.3","",".",".","",".","6.9","0.9",".",".","."
