"SOCIAL WORK","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","",""
"So You Want to Chng the World?","100
001","118","3.788","90.7",".","2.5",".","4.2",".","2.5",".",".",".",".",".",".",".",".","."
"Health Care: Intrdis Appr","105
001","40","3.750","67.5","17.5","12.5","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Field of Social Work","205
001","109","3.596","51.4","25.7","16.5","3.7","2.8",".",".",".",".",".",".",".",".",".",".","."
"Introduction-Social Policy","206
001","79","2.718","8.9","15.2","25.3","27.8","13.9","6.3","1.3",".",".",".",".",".",".","1.3",".","."
"","400
008","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
009","8","3.838","87.5",".",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","400
010","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"","400
011","12","3.955","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
012","16","3.899","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
013","15","3.831","73.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
014","10","4.000","80.0",".",".",".",".",".",".",".",".",".",".",".","20.0",".",".","."
"","400
015","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"","400
101","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
102","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Pract/Integrat Smr I","Course Total","121","3.939","87.6","7.4","0.8","0.8",".",".",".",".",".",".",".",".","3.3",".",".","."
"Poverty and Social Welfare","420
001","17","3.647","52.9","29.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Social Issues in Aging","422
001","8","3.563","62.5","12.5",".","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","441
001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","441
002","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","441
003","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","441
004","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","441
005","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","441
006","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","441
010","13","4.000","92.3",".",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"","441
011","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"SW with Ind, Fams, and Grps","Course Total","121","3.988","96.7","2.5",".",".",".",".",".",".",".",".",".",".","0.8",".",".","."
"","442
001","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","442
002","21","3.857","76.2","19.0","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","442
003","22","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","442
004","18","3.844","66.7","16.7","5.6",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"","442
005","22","3.886","77.3","22.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Genlst Pract w Comms & Orgs","Course Total","95","3.892","78.9","16.8","2.1",".",".",".",".",".",".",".",".",".","2.1",".",".","."
"Alcohol & Other Drug Abuse","453
001","99","3.717","78.8","8.1","6.1","2.0","2.0","1.0","2.0",".",".",".",".",".",".",".",".","."
"Child Welfare","462
001","24","3.932","83.3","4.2","4.2",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Special Topics in Social Work","579
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","001
605","46","3.870","76.1","21.7","2.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","605
010","28","3.982","96.4","3.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Field of Social Work","Course Total","74","3.912","83.8","14.9","1.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Policy","606
010","26","3.942","88.5","11.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Diversity Opp Soc Just in SW","640
001","88","3.776","83.0","8.0","4.5",".",".",".","3.4",".",".",".",".",".","1.1",".",".","."
"","644
001","14","3.846","71.4","14.3","7.1",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"January 05, 2022","","","","","","","","","","","","","","","","","","Page 340 of 464",""
